
-----------------------------------------------------------------------------
Status                        Inlet               Outlet
-----------------------------------------------------------------------------
Time[s]                       0                   0.0110252
T[K]                          1654.631            1685.196
P[atm]                        5.00000             5.00000
rho[kg/m3]                    0.96584             0.95054
MW[kg/kmol]                   26.22737            26.28878
Phi[-]                        0.00000             0.57719
H[J/kg]                       -3.844579e+04       -3.844579e+04
U[J/kg]                       -5.629883e+05       -5.714299e+05
Conv.(%) O2                   0.000000e+00        3.150704e+00
Conv.(%) N2                   0.000000e+00        4.688712e-05
Total species (kmol/s)        2.255394e-03        2.250126e-03
Element(kmol/s) H             9.074935e-04        9.074935e-04
Element(kmol/s) O             7.861356e-04        7.861356e-04
Element(kmol/s) N             3.259865e-03        3.259865e-03
-----------------------------------------------------------------------------

-----------------------------------------------------------------------------
Mass fractions                Inlet               Outlet
-----------------------------------------------------------------------------
NO                            1.962759e-03        1.951576e-03
NH3                           2.856712e-08        1.128630e-10
H2                            3.576239e-04        1.538251e-06
O2                            9.161460e-02        8.872809e-02
H                             2.241282e-06        2.073390e-08
O                             1.499662e-06        6.162753e-06
OH                            1.988984e-04        2.650037e-04
HO2                           1.871887e-08        1.267552e-06
H2O                           1.348669e-01        1.380332e-01
H2O2                          1.074151e-08        1.844925e-07
NH2                           1.552145e-09        1.094655e-11
NH                            5.189683e-10        9.230786e-13
N                             8.853133e-10        2.001625e-12
NNH                           4.775461e-10        3.399178e-12
NH2OH                         3.420830e-12        1.052232e-13
H2NO                          1.191193e-10        3.331067e-13
HNOH                          2.610745e-11        4.555393e-14
HNO                           1.037421e-07        4.579011e-09
HON                           6.442396e-09        6.442269e-09
NO2                           1.926655e-07        1.701429e-05
HONO                          4.972814e-08        5.721507e-07
HNO2                          3.312007e-10        2.529448e-09
NO3                           1.335073e-14        4.337224e-11
HONO2                         7.087069e-13        6.823360e-10
N2O                           6.912977e-08        6.584914e-07
N2H4                          1.352943e-17        1.024704e-20
N2H3                          6.939807e-16        3.734323e-19
N2H2                          9.918074e-14        3.001278e-16
H2NN                          1.473367e-15        4.504973e-18
AR                            0.000000e+00        0.000000e+00
HE                            0.000000e+00        0.000000e+00
N2                            7.709950e-01        7.709947e-01
--------------------------------------------------------------

-----------------------------------------------------------------------------
Mole fractions                Inlet               Outlet
-----------------------------------------------------------------------------
NO                            1.715590e-03        1.709809e-03
NH3                           4.399274e-08        1.742136e-10
H2                            4.652546e-03        2.005890e-05
O2                            7.509251e-02        7.289684e-02
H                             5.831641e-05        5.407429e-07
O                             2.458415e-06        1.012633e-05
OH                            3.067315e-04        4.096327e-04
HO2                           1.487447e-08        1.009586e-06
H2O                           1.963477e-01        2.014279e-01
H2O2                          8.282519e-09        1.425907e-07
NH2                           2.540641e-09        1.795989e-11
NH                            9.065052e-10        1.616158e-12
N                             1.657703e-09        3.756712e-12
NNH                           4.315615e-10        3.079052e-12
NH2OH                         2.716300e-12        8.374779e-14
H2NO                          9.756377e-11        2.734672e-13
HNOH                          2.138311e-11        3.739795e-14
HNO                           8.773080e-08        3.881363e-09
HON                           5.448091e-09        5.460739e-09
NO2                           1.098383e-07        9.722528e-06
HONO                          2.774208e-08        3.199358e-07
HNO2                          1.847685e-10        1.414419e-09
NO3                           5.647290e-15        1.838919e-11
HONO2                         2.949838e-13        2.846724e-10
N2O                           4.119447e-08        3.933141e-07
N2H4                          1.107287e-17        8.406109e-21
N2H3                          5.864195e-16        3.162922e-19
N2H2                          8.662171e-14        2.627370e-16
H2NN                          1.286798e-15        3.943730e-18
AR                            0.000000e+00        0.000000e+00
HE                            0.000000e+00        0.000000e+00
N2                            7.218238e-01        7.235135e-01
-----------------------------------------------------------------------------
