
-----------------------------------------------------------------------------
Status                        Inlet               Outlet
-----------------------------------------------------------------------------
Time[s]                       0                   0.00523274
T[K]                          1700.872            1702.578
P[atm]                        5.00000             5.00000
rho[kg/m3]                    0.94575             0.94490
MW[kg/kmol]                   26.39946            26.40227
Phi[-]                        0.00000             0.54687
H[J/kg]                       6.268645e+04        6.268645e+04
U[J/kg]                       -4.730003e+05       -4.734805e+05
Conv.(%) O2                   0.000000e+00        -9.443781e-02
Conv.(%) N2                   0.000000e+00        -9.430266e-06
Total species (kmol/s)        2.354107e-03        2.353856e-03
Element(kmol/s) H             9.074935e-04        9.074935e-04
Element(kmol/s) O             8.297224e-04        8.297224e-04
Element(kmol/s) N             3.423835e-03        3.423835e-03
Element(kmol/s) HE            1.019004e-36        1.019004e-36
-----------------------------------------------------------------------------

-----------------------------------------------------------------------------
Mass fractions                Inlet               Outlet
-----------------------------------------------------------------------------
NO                            1.497065e-03        1.495327e-03
NH3                           8.162075e-11        2.491437e-12
H2                            2.804073e-06        5.497426e-07
O2                            9.579422e-02        9.588469e-02
H                             5.770069e-08        7.799305e-09
O                             1.201353e-05        3.994492e-06
OH                            4.290707e-04        2.138684e-04
HO2                           1.443068e-06        9.223409e-07
H2O                           1.312772e-01        1.314119e-01
H2O2                          1.887519e-07        1.051600e-07
NH2                           1.119058e-11        2.397899e-13
NH                            3.380680e-12        1.865966e-13
N                             1.070223e-11        1.172110e-12
NNH                           1.072434e-11        1.353595e-12
NH2OH                         6.281609e-14        2.530800e-15
H2NO                          5.881750e-13        1.341503e-13
HNOH                          9.649343e-14        1.850300e-14
HNO                           5.517809e-09        2.081802e-09
HON                           8.444614e-09        8.444513e-09
NO2                           7.420878e-06        1.011566e-05
HONO                          2.890772e-07        3.101779e-07
HNO2                          1.505426e-09        1.403590e-09
NO3                           1.502818e-11        1.490476e-11
HONO2                         2.004192e-10        2.845397e-10
N2O                           5.602281e-07        4.242555e-07
N2H4                          5.001669e-21        5.960751e-24
N2H3                          3.396494e-19        5.541430e-21
N2H2                          3.119055e-16        1.257385e-17
H2NN                          3.734931e-18        8.669451e-20
AR                            0.000000e+00        0.000000e+00
HE                            6.563576e-35        6.563576e-35
N2                            7.709777e-01        7.709777e-01
--------------------------------------------------------------

-----------------------------------------------------------------------------
Mole fractions                Inlet               Outlet
-----------------------------------------------------------------------------
NO                            1.317127e-03        1.315738e-03
NH3                           1.265189e-10        3.862344e-12
H2                            3.671924e-05        7.199629e-06
O2                            7.903355e-02        7.911661e-02
H                             1.511177e-06        2.042850e-07
O                             1.982316e-05        6.591890e-06
OH                            6.660336e-04        3.320169e-04
HO2                           1.154221e-06        7.378019e-07
H2O                           1.923756e-01        1.925936e-01
H2O2                          1.464970e-07        8.162708e-08
NH2                           1.843758e-11        3.951193e-13
NH                            5.943930e-12        3.281101e-13
N                             2.017085e-11        2.209350e-12
NNH                           9.755244e-12        1.231410e-12
NH2OH                         5.020620e-14        2.022975e-15
H2NO                          4.849010e-13        1.106074e-13
HNOH                          7.955075e-14        1.525580e-14
HNO                           4.696820e-09        1.772242e-09
HON                           7.188148e-09        7.188828e-09
NO2                           4.258388e-06        5.805377e-06
HONO                          1.623271e-07        1.741944e-07
HNO2                          8.453499e-10        7.882494e-10
NO3                           6.398551e-12        6.346677e-12
HONO2                         8.396748e-11        1.192232e-10
N2O                           3.360306e-07        2.545000e-07
N2H4                          4.120369e-21        4.910983e-24
N2H3                          2.888897e-19        4.713781e-21
N2H2                          2.741970e-16        1.105488e-17
H2NN                          3.283389e-18        7.622150e-20
AR                            0.000000e+00        0.000000e+00
HE                            4.328625e-34        4.329086e-34
N2                            7.265436e-01        7.266210e-01
-----------------------------------------------------------------------------
