
-----------------------------------------------------------------------------
Status                        Initial             Final
-----------------------------------------------------------------------------
Time[s]                       0                   0.0073669
Length[m]                     0                   0.11811
T[K]                          2117.196            2126.686
P[atm]                        5.00000             5.00000
V[m3]                         15.97888            16.03943
rho[kg/m3]                    0.70803             0.70803
MW[kg/kmol]                   24.69453            24.71159
Phi[-]                        1.02247             1.02247
H[J/kg]                       -2.829227e+05       -2.829237e+05
U[J/kg]                       -9.957664e+05       -9.984684e+05
E[J/kg]                       -2.827951e+05       -2.827951e+05
Conv.(%) NO                   0.000e+00           1.005e+01
Conv.(%) NH3                  0.000e+00           9.925e+01
Conv.(%) H2                   0.000e+00           8.994e+00
Conv.(%) O2                   0.000e+00           7.250e+01
Conv.(%) H                    0.000e+00           4.563e+01
Conv.(%) O                    0.000e+00           6.401e+01
Conv.(%) OH                   0.000e+00           3.919e+01
Conv.(%) HO2                  0.000e+00           7.627e+01
Conv.(%) H2O                  0.000e+00           -4.172e-01
Conv.(%) H2O2                 0.000e+00           6.481e+01
Conv.(%) NH2                  0.000e+00           9.946e+01
Conv.(%) NH                   0.000e+00           9.879e+01
Conv.(%) N                    0.000e+00           9.424e+01
Conv.(%) NNH                  0.000e+00           4.661e+01
Conv.(%) NH2OH                0.000e+00           9.929e+01
Conv.(%) H2NO                 0.000e+00           8.603e+01
Conv.(%) HNOH                 0.000e+00           8.645e+01
Conv.(%) HNO                  0.000e+00           4.848e+01
Conv.(%) HON                  0.000e+00           6.220e-02
Conv.(%) NO2                  0.000e+00           2.974e+01
Conv.(%) HONO                 0.000e+00           4.742e+01
Conv.(%) HNO2                 0.000e+00           4.700e+01
Conv.(%) NO3                  0.000e+00           7.575e+01
Conv.(%) HONO2                0.000e+00           5.931e+01
Conv.(%) N2O                  0.000e+00           9.839e+01
Conv.(%) N2H4                 0.000e+00           1.000e+02
Conv.(%) N2H3                 0.000e+00           9.999e+01
Conv.(%) N2H2                 0.000e+00           9.999e+01
Conv.(%) H2NN                 0.000e+00           9.998e+01
Conv.(%) HE                   0.000e+00           0.000e+00
Conv.(%) N2                   0.000e+00           -1.943e-02
Total species (kmol/m2/s)     4.598730e-01        4.595556e-01
Element(kmol/m2/s) H          2.891991e-01        2.891991e-01
Element(kmol/m2/s) O          1.414221e-01        1.414221e-01
Element(kmol/m2/s) N          6.284161e-01        6.284161e-01
Element(kmol/m2/s) HE         3.247353e-34        3.247353e-34
-----------------------------------------------------------------------------

-----------------------------------------------------------------------------
Mass fractions                Initial             Final
-----------------------------------------------------------------------------
NO                            2.910149e-03        2.617565e-03
NH3                           9.408693e-06        7.101209e-08
H2                            8.571889e-04        7.800948e-04
O2                            4.860094e-04        1.336373e-04
H                             1.208933e-05        6.572642e-06
O                             1.371742e-05        4.937019e-06
OH                            8.113246e-04        4.933398e-04
HO2                           2.270849e-07        5.388461e-08
H2O                           2.211697e-01        2.220925e-01
H2O2                          7.583872e-08        2.669021e-08
NH2                           9.915089e-07        5.322463e-09
NH                            1.630172e-07        1.967401e-09
N                             5.607583e-08        3.231884e-09
NNH                           2.722337e-09        1.453422e-09
NH2OH                         1.072821e-09        7.567690e-12
H2NO                          1.412196e-09        1.972909e-10
HNOH                          3.437365e-10        4.655913e-11
HNO                           3.176283e-07        1.636280e-07
HON                           1.473749e-08        1.472832e-08
NO2                           4.017704e-07        2.822829e-07
HONO                          1.286439e-07        6.763943e-08
HNO2                          9.030893e-10        4.786471e-10
NO3                           1.081288e-13        2.622204e-14
HONO2                         2.633495e-12        1.071594e-12
N2O                           7.835693e-06        1.263541e-07
N2H4                          3.390914e-12        5.729649e-17
N2H3                          4.667486e-11        2.369711e-15
N2H2                          4.091122e-09        3.322907e-13
H2NN                          2.857514e-11        5.432206e-15
AR                            0.000000e+00        0.000000e+00
HE                            1.144659e-34        1.144659e-34
N2                            7.737202e-01        7.738706e-01
--------------------------------------------------------------

-----------------------------------------------------------------------------
Mole fractions                Initial             Final
-----------------------------------------------------------------------------
NO                            2.395013e-03        2.155709e-03
NH3                           1.364238e-05        1.030369e-07
H2                            1.049994e-02        9.562194e-03
O2                            3.750789e-04        1.032061e-04
H                             2.961711e-04        1.611314e-04
O                             2.117291e-05        7.625575e-06
OH                            1.178061e-03        7.168349e-04
HO2                           1.699011e-07        4.034340e-08
H2O                           3.031741e-01        3.046493e-01
H2O2                          5.505974e-08        1.939077e-08
NH2                           1.528107e-06        8.208608e-09
NH                            2.681075e-07        3.237936e-09
N                             9.886247e-08        5.701792e-09
NNH                           2.316410e-09        1.237557e-09
NH2OH                         8.020831e-10        5.661812e-12
H2NO                          1.089049e-09        1.522507e-10
HNOH                          2.650807e-10        3.592999e-11
HNO                           2.529078e-07        1.303769e-07
HON                           1.173455e-08        1.173535e-08
NO2                           2.156620e-07        1.516283e-07
HONO                          6.757283e-08        3.555352e-08
HNO2                          4.743660e-10        2.515928e-10
NO3                           4.306479e-14        1.045075e-14
HONO2                         1.032072e-12        4.202499e-13
N2O                           4.396401e-06        7.094290e-08
N2H4                          2.613027e-12        4.418297e-17
N2H3                          3.713557e-11        1.886698e-15
N2H2                          3.364247e-09        2.734410e-13
H2NN                          2.349816e-11        4.470144e-15
AR                            0.000000e+00        0.000000e+00
HE                            7.061412e-34        7.066289e-34
N2                            6.820397e-01        6.826434e-01
-----------------------------------------------------------------------------
