
-----------------------------------------------------------------------------
Status                        Inlet               Outlet
-----------------------------------------------------------------------------
Time[s]                       0                   0.0103871
T[K]                          1673.469            1701.261
P[atm]                        5.00000             5.00000
rho[kg/m3]                    0.95535             0.94174
MW[kg/kmol]                   26.23774            26.29359
Phi[-]                        0.00000             0.57583
H[J/kg]                       -1.143394e+04       -1.143394e+04
U[J/kg]                       -5.417384e+05       -5.494005e+05
Conv.(%) O2                   0.000000e+00        2.816507e+00
Conv.(%) N2                   0.000000e+00        4.729928e-05
Total species (kmol/s)        2.259359e-03        2.254560e-03
Element(kmol/s) H             9.074935e-04        9.074935e-04
Element(kmol/s) O             7.879903e-04        7.879903e-04
Element(kmol/s) N             3.266842e-03        3.266842e-03
-----------------------------------------------------------------------------

-----------------------------------------------------------------------------
Mass fractions                Inlet               Outlet
-----------------------------------------------------------------------------
NO                            1.959174e-03        1.948960e-03
NH3                           2.251670e-08        8.992009e-11
H2                            3.214992e-04        1.547059e-06
O2                            9.160945e-02        8.902927e-02
H                             2.522124e-06        2.218422e-08
O                             2.445349e-06        6.688970e-06
OH                            2.604177e-04        2.821904e-04
HO2                           3.228472e-08        1.279310e-06
H2O                           1.348576e-01        1.377270e-01
H2O2                          1.569234e-08        1.816685e-07
NH2                           1.547209e-09        9.100204e-12
NH                            5.880666e-10        9.511943e-13
N                             1.104173e-09        2.427639e-12
NNH                           5.460979e-10        3.703183e-12
NH2OH                         3.192646e-12        8.108265e-14
H2NO                          1.057905e-10        3.309207e-13
HNOH                          2.387692e-11        4.622908e-14
HNO                           9.931570e-08        4.574396e-09
HON                           8.487324e-09        8.487129e-09
NO2                           2.480706e-07        1.566001e-05
HONO                          5.577807e-08        5.312034e-07
HNO2                          3.805157e-10        2.399554e-09
NO3                           2.396599e-14        3.791163e-11
HONO2                         1.030168e-12        5.851362e-10
N2O                           7.346449e-08        6.431499e-07
N2H4                          1.092721e-17        6.480467e-21
N2H3                          6.407816e-16        3.099070e-19
N2H2                          1.009941e-13        2.690840e-16
H2NN                          1.611617e-15        3.582597e-18
AR                            0.000000e+00        0.000000e+00
HE                            0.000000e+00        0.000000e+00
N2                            7.709863e-01        7.709860e-01
--------------------------------------------------------------

-----------------------------------------------------------------------------
Mole fractions                Inlet               Outlet
-----------------------------------------------------------------------------
NO                            1.713134e-03        1.707831e-03
NH3                           3.468895e-08        1.388246e-10
H2                            4.184232e-03        2.017744e-05
O2                            7.511798e-02        7.315766e-02
H                             6.564963e-05        5.786734e-07
O                             4.010278e-06        1.099300e-05
OH                            4.017623e-04        4.362791e-04
HO2                           2.566437e-08        1.019138e-06
H2O                           1.964118e-01        2.010179e-01
H2O2                          1.210477e-08        1.404339e-07
NH2                           2.533563e-09        1.493335e-11
NH                            1.027608e-09        1.665688e-12
N                             2.068324e-09        4.557102e-12
NNH                           4.937074e-10        3.355040e-12
NH2OH                         2.536113e-12        6.454599e-14
H2NO                          8.668117e-11        2.717223e-13
HNOH                          1.956394e-11        3.795917e-14
HNO                           8.402075e-08        3.878161e-09
HON                           7.180247e-09        7.195366e-09
NO2                           1.414805e-07        8.950284e-06
HONO                          3.112949e-08        2.970932e-07
HNO2                          2.123641e-10        1.342031e-09
NO3                           1.014150e-14        1.607691e-11
HONO2                         4.289547e-13        2.441651e-10
N2O                           4.379484e-08        3.842210e-07
N2H4                          8.946683e-18        5.317192e-21
N2H3                          5.416799e-16        2.625352e-19
N2H2                          8.824037e-14        2.356039e-16
H2NN                          1.408098e-15        3.136841e-18
AR                            0.000000e+00        0.000000e+00
HE                            0.000000e+00        0.000000e+00
N2                            7.221011e-01        7.236377e-01
-----------------------------------------------------------------------------
