
-----------------------------------------------------------------------------
Status                        Inlet               Outlet
-----------------------------------------------------------------------------
Time[s]                       0                   0.00102617
T[K]                          2287.870            2046.906
P[atm]                        5.00000             5.00000
rho[kg/m3]                    0.65734             0.73677
MW[kg/kmol]                   24.68130            24.75023
Phi[-]                        0.00000             1.01371
H[J/kg]                       6.815709e+04        -4.048767e+05
U[J/kg]                       -7.025645e+05       -1.092503e+06
Conv.(%) O2                   0.000000e+00        8.348622e+01
Conv.(%) N2                   0.000000e+00        -7.709190e-02
Total species (kmol/s)        1.454503e-03        1.450452e-03
Element(kmol/s) H             9.074935e-04        9.074935e-04
Element(kmol/s) O             4.476094e-04        4.476094e-04
Element(kmol/s) N             1.986362e-03        1.986362e-03
-----------------------------------------------------------------------------

-----------------------------------------------------------------------------
Mass fractions                Inlet               Outlet
-----------------------------------------------------------------------------
NO                            3.780709e-03        3.406595e-03
NH3                           3.117706e-04        5.656216e-06
H2                            1.028774e-03        6.715918e-04
O2                            3.139462e-03        5.184438e-04
H                             2.573691e-05        9.062537e-06
O                             5.526803e-05        1.134939e-05
OH                            1.819161e-03        6.921511e-04
HO2                           1.330042e-06        2.400382e-07
H2O                           2.167514e-01        2.212423e-01
H2O2                          1.593092e-07        8.326621e-08
NH2                           5.263985e-05        5.535172e-07
NH                            1.182366e-05        7.497509e-08
N                             4.424943e-06        2.152119e-08
NNH                           1.258184e-08        1.957762e-09
NH2OH                         3.954582e-08        8.131530e-10
H2NO                          9.101509e-08        8.737938e-10
HNOH                          2.610087e-08        1.979658e-10
HNO                           3.575340e-06        3.600691e-07
HON                           1.060699e-08        1.061974e-08
NO2                           8.765795e-07        5.224357e-07
HONO                          1.638905e-07        1.901383e-07
HNO2                          1.314663e-09        1.255077e-09
NO3                           3.998271e-13        1.732599e-13
HONO2                         5.647103e-12        4.286345e-12
N2O                           1.736962e-04        7.000366e-06
N2H4                          1.794985e-09        1.545097e-12
N2H3                          5.443398e-09        2.213250e-11
N2H2                          8.132528e-07        1.615100e-09
H2NN                          5.515615e-09        1.195334e-11
AR                            0.000000e+00        0.000000e+00
HE                            0.000000e+00        0.000000e+00
N2                            7.728380e-01        7.734338e-01
--------------------------------------------------------------

-----------------------------------------------------------------------------
Mole fractions                Inlet               Outlet
-----------------------------------------------------------------------------
NO                            3.109805e-03        2.809905e-03
NH3                           4.518175e-04        8.219872e-06
H2                            1.259498e-02        8.245064e-03
O2                            2.421589e-03        4.010127e-04
H                             6.301788e-04        2.225197e-04
O                             8.526074e-05        1.755735e-05
OH                            2.640045e-03        1.007285e-03
HO2                           9.945820e-07        1.799976e-07
H2O                           2.969584e-01        3.039576e-01
H2O2                          1.155982e-07        6.058852e-08
NH2                           8.108468e-05        8.550008e-07
NH                            1.943545e-05        1.235865e-07
N                             7.797054e-06        3.802772e-08
NNH                           1.070003e-08        1.669597e-09
NH2OH                         2.955017e-08        6.093165e-10
H2NO                          7.015085e-08        6.753669e-10
HNOH                          2.011752e-08        1.530104e-10
HNO                           2.845297e-06        2.873474e-07
HON                           8.441168e-09        8.474912e-09
NO2                           4.702776e-07        2.810652e-07
HONO                          8.604068e-08        1.000992e-07
HNO2                          6.901835e-10        6.607414e-10
NO3                           1.591551e-13        6.916040e-14
HONO2                         2.211925e-12        1.683616e-12
N2O                           9.740413e-05        3.936579e-06
N2H4                          1.382467e-09        1.193331e-12
N2H3                          4.328569e-09        1.764883e-11
N2H2                          6.684027e-07        1.331139e-09
H2NN                          4.533218e-09        9.851741e-12
AR                            0.000000e+00        0.000000e+00
HE                            0.000000e+00        0.000000e+00
N2                            6.808969e-01        6.833249e-01
-----------------------------------------------------------------------------
