
-----------------------------------------------------------------------------
Status                        Inlet               Outlet
-----------------------------------------------------------------------------
Time[s]                       0                   0.00543421
T[K]                          1506.524            1508.945
P[atm]                        5.00000             5.00000
rho[kg/m3]                    1.09055             1.08897
MW[kg/kmol]                   26.96318            26.96716
Phi[-]                        0.00000             0.40317
H[J/kg]                       1.713856e+05        1.713856e+05
U[J/kg]                       -2.931716e+05       -2.938493e+05
Conv.(%) O2                   0.000000e+00        -9.382381e-02
Conv.(%) N2                   0.000000e+00        4.302435e-06
Total species (kmol/s)        3.058308e-03        3.057856e-03
Element(kmol/s) H             9.074935e-04        9.074935e-04
Element(kmol/s) O             1.125456e-03        1.125456e-03
Element(kmol/s) N             4.536358e-03        4.536358e-03
-----------------------------------------------------------------------------

-----------------------------------------------------------------------------
Mass fractions                Inlet               Outlet
-----------------------------------------------------------------------------
NO                            1.009559e-03        1.001054e-03
NH3                           8.296265e-11        2.900327e-12
H2                            2.831632e-06        1.054492e-07
O2                            1.296210e-01        1.297426e-01
H                             6.301333e-08        8.999362e-10
O                             1.086403e-05        1.102324e-06
OH                            3.653864e-04        7.201039e-05
HO2                           1.143729e-06        5.000401e-07
H2O                           9.890799e-02        9.908845e-02
H2O2                          1.542164e-07        8.175754e-08
NH2                           1.231167e-11        1.590985e-13
NH                            4.294907e-12        1.117523e-14
N                             1.208141e-11        4.235377e-14
NNH                           1.191758e-11        1.222440e-13
NH2OH                         6.305780e-14        3.359467e-15
H2NO                          5.417255e-13        1.237263e-14
HNOH                          9.217609e-14        1.228678e-15
HNO                           4.542839e-09        5.348398e-10
HON                           6.001916e-09        6.001909e-09
NO2                           4.550109e-06        1.734292e-05
HONO                          1.885529e-07        4.489032e-07
HNO2                          1.011600e-09        1.518858e-09
NO3                           9.445318e-12        4.324273e-11
HONO2                         1.196126e-10        1.021079e-09
N2O                           4.284823e-07        4.791248e-07
N2H4                          6.290482e-21        1.900185e-23
N2H3                          3.845171e-19        3.360658e-21
N2H2                          3.227369e-16        8.024089e-18
H2NN                          4.130583e-18        3.947866e-20
AR                            0.000000e+00        0.000000e+00
HE                            0.000000e+00        0.000000e+00
N2                            7.700759e-01        7.700758e-01
--------------------------------------------------------------

-----------------------------------------------------------------------------
Mole fractions                Inlet               Outlet
-----------------------------------------------------------------------------
NO                            9.071822e-04        8.996727e-04
NH3                           1.313450e-10        4.592424e-12
H2                            3.787192e-05        1.410549e-06
O2                            1.092254e-01        1.093440e-01
H                             1.685555e-06        2.407612e-08
O                             1.830920e-05        1.858025e-06
OH                            5.792897e-04        1.141833e-04
HO2                           9.343319e-07        4.085518e-07
H2O                           1.480363e-01        1.483283e-01
H2O2                          1.222486e-07        6.481946e-08
NH2                           2.071783e-11        2.677673e-13
NH                            7.712577e-12        2.007089e-14
N                             2.325647e-11        8.154215e-14
NNH                           1.107214e-11        1.135888e-13
NH2OH                         5.147559e-14        2.742818e-15
H2NO                          4.561439e-13        1.041955e-14
HNOH                          7.761416e-14        1.034725e-15
HNO                           3.949487e-09        4.650516e-10
HON                           5.217990e-09        5.218754e-09
NO2                           2.666784e-06        1.016606e-05
HONO                          1.081400e-07        2.574957e-07
HNO2                          5.801788e-10        8.712335e-10
NO3                           4.107409e-12        1.880740e-11
HONO2                         5.118290e-11        4.369898e-10
N2O                           2.624962e-07        2.935641e-07
N2H4                          5.292748e-21        1.599032e-23
N2H3                          3.340358e-19        2.919886e-21
N2H2                          2.897773e-16        7.205691e-18
H2NN                          3.708746e-18        3.545213e-20
AR                            0.000000e+00        0.000000e+00
HE                            0.000000e+00        0.000000e+00
N2                            7.411899e-01        7.412993e-01
-----------------------------------------------------------------------------
