
-----------------------------------------------------------------------------
Status                        Inlet               Outlet
-----------------------------------------------------------------------------
Time[s]                       0                   0.0010117
T[K]                          2277.648            2072.084
P[atm]                        5.00000             5.00000
rho[kg/m3]                    0.66035             0.72820
MW[kg/kmol]                   24.68369            24.76304
Phi[-]                        0.00000             1.01076
H[J/kg]                       6.930224e+04        -3.600603e+05
U[J/kg]                       -6.979015e+05       -1.055785e+06
Conv.(%) O2                   0.000000e+00        8.333564e+01
Conv.(%) N2                   0.000000e+00        -1.168882e-01
Total species (kmol/s)        1.457999e-03        1.453327e-03
Element(kmol/s) H             9.074935e-04        9.074935e-04
Element(kmol/s) O             4.489163e-04        4.489163e-04
Element(kmol/s) N             1.991278e-03        1.991278e-03
-----------------------------------------------------------------------------

-----------------------------------------------------------------------------
Mass fractions                Inlet               Outlet
-----------------------------------------------------------------------------
NO                            3.898884e-03        3.426554e-03
NH3                           5.002001e-04        7.030689e-06
H2                            1.078771e-03        6.323328e-04
O2                            4.331016e-03        7.217360e-04
H                             2.744637e-05        9.829935e-06
O                             5.810680e-05        1.562168e-05
OH                            1.821420e-03        8.308944e-04
HO2                           1.853363e-06        3.164567e-07
H2O                           2.153798e-01        2.209423e-01
H2O2                          1.695319e-07        1.032124e-07
NH2                           8.423968e-05        7.876959e-07
NH                            1.885943e-05        1.166072e-07
N                             7.062517e-06        3.384270e-08
NNH                           1.846657e-08        2.171664e-09
NH2OH                         6.613485e-08        1.129366e-09
H2NO                          1.563484e-07        1.225792e-09
HNOH                          4.421612e-08        2.870458e-10
HNO                           5.790895e-06        3.567720e-07
HON                           1.396310e-08        1.398682e-08
NO2                           9.208171e-07        6.206832e-07
HONO                          1.792972e-07        1.987697e-07
HNO2                          1.427628e-09        1.341972e-09
NO3                           4.639839e-13        2.449677e-13
HONO2                         6.217999e-12        5.319400e-12
N2O                           2.841751e-04        9.514100e-06
N2H4                          4.861300e-09        2.972380e-12
N2H3                          1.491418e-08        4.153166e-11
N2H2                          2.022694e-06        3.412630e-09
H2NN                          1.447027e-08        2.519320e-11
AR                            0.000000e+00        0.000000e+00
HE                            0.000000e+00        0.000000e+00
N2                            7.724987e-01        7.734017e-01
--------------------------------------------------------------

-----------------------------------------------------------------------------
Mole fractions                Inlet               Outlet
-----------------------------------------------------------------------------
NO                            3.207320e-03        2.827832e-03
NH3                           7.249594e-04        1.022261e-05
H2                            1.320836e-02        7.767105e-03
O2                            3.341005e-03        5.585468e-04
H                             6.721008e-04        2.414872e-04
O                             8.964874e-05        2.417904e-05
OH                            2.643581e-03        1.209824e-03
HO2                           1.386046e-06        2.374245e-07
H2O                           2.951079e-01        3.037026e-01
H2O2                          1.230279e-07        7.514123e-08
NH2                           1.297726e-04        1.217359e-06
NH                            3.100369e-05        1.923109e-07
N                             1.244585e-05        5.983068e-08
NNH                           1.570612e-08        1.852974e-09
NH2OH                         4.942331e-08        8.467010e-10
H2NO                          1.205189e-07        9.479218e-10
HNOH                          3.408335e-08        2.219764e-10
HNO                           4.608908e-06        2.848636e-07
HON                           1.111307e-08        1.116774e-08
NO2                           4.940586e-07        3.340943e-07
HONO                          9.413813e-08        1.046975e-07
HNO2                          7.495616e-10        7.068537e-10
NO3                           1.847112e-13        9.783474e-14
HONO2                         2.435777e-12        2.090467e-12
N2O                           1.593731e-04        5.352920e-06
N2H4                          3.744455e-09        2.296860e-12
N2H3                          1.186085e-08        3.313520e-11
N2H2                          1.662589e-06        2.814089e-09
H2NN                          1.189409e-08        2.077457e-11
AR                            0.000000e+00        0.000000e+00
HE                            0.000000e+00        0.000000e+00
N2                            6.806639e-01        6.836503e-01
-----------------------------------------------------------------------------
