
-----------------------------------------------------------------------------
Status                        Initial             Final
-----------------------------------------------------------------------------
Time[s]                       0                   0.00728696
Length[m]                     0                   0.11811
T[K]                          2072.084            2083.900
P[atm]                        5.00000             5.00000
V[m3]                         16.13721            16.21486
rho[kg/m3]                    0.72471             0.72471
MW[kg/kmol]                   24.76304            24.78499
Phi[-]                        1.01076             1.01076
H[J/kg]                       -3.600603e+05       -3.600615e+05
U[J/kg]                       -1.055785e+06       -1.059134e+06
E[J/kg]                       -3.599301e+05       -3.599301e+05
Conv.(%) NO                   0.000e+00           5.820e+00
Conv.(%) NH3                  0.000e+00           9.947e+01
Conv.(%) H2                   0.000e+00           1.625e+01
Conv.(%) O2                   0.000e+00           7.764e+01
Conv.(%) H                    0.000e+00           5.774e+01
Conv.(%) O                    0.000e+00           7.422e+01
Conv.(%) OH                   0.000e+00           4.837e+01
Conv.(%) HO2                  0.000e+00           8.320e+01
Conv.(%) H2O                  0.000e+00           -5.405e-01
Conv.(%) H2O2                 0.000e+00           7.496e+01
Conv.(%) NH2                  0.000e+00           9.968e+01
Conv.(%) NH                   0.000e+00           9.917e+01
Conv.(%) N                    0.000e+00           9.463e+01
Conv.(%) NNH                  0.000e+00           5.858e+01
Conv.(%) NH2OH                0.000e+00           9.953e+01
Conv.(%) H2NO                 0.000e+00           8.578e+01
Conv.(%) HNOH                 0.000e+00           8.630e+01
Conv.(%) HNO                  0.000e+00           5.415e+01
Conv.(%) HON                  0.000e+00           4.697e-02
Conv.(%) NO2                  0.000e+00           3.417e+01
Conv.(%) HONO                 0.000e+00           5.378e+01
Conv.(%) HNO2                 0.000e+00           5.329e+01
Conv.(%) NO3                  0.000e+00           8.388e+01
Conv.(%) HONO2                0.000e+00           6.810e+01
Conv.(%) N2O                  0.000e+00           9.873e+01
Conv.(%) N2H4                 0.000e+00           1.000e+02
Conv.(%) N2H3                 0.000e+00           1.000e+02
Conv.(%) N2H2                 0.000e+00           1.000e+02
Conv.(%) H2NN                 0.000e+00           9.999e+01
Conv.(%) N2                   0.000e+00           -1.368e-02
Total species (kmol/m2/s)     4.745408e-01        4.741206e-01
Element(kmol/m2/s) H          2.963151e-01        2.963151e-01
Element(kmol/m2/s) O          1.465803e-01        1.465803e-01
Element(kmol/m2/s) N          6.501929e-01        6.501929e-01
-----------------------------------------------------------------------------

-----------------------------------------------------------------------------
Mass fractions                Initial             Final
-----------------------------------------------------------------------------
NO                            3.426554e-03        3.227137e-03
NH3                           7.030689e-06        3.708934e-08
H2                            6.323328e-04        5.295710e-04
O2                            7.217360e-04        1.613467e-04
H                             9.829935e-06        4.154423e-06
O                             1.562168e-05        4.027960e-06
OH                            8.308944e-04        4.289579e-04
HO2                           3.164567e-07        5.317914e-08
H2O                           2.209423e-01        2.221364e-01
H2O2                          1.032124e-07        2.584830e-08
NH2                           7.876959e-07        2.548551e-09
NH                            1.166072e-07        9.686587e-10
N                             3.384270e-08        1.818786e-09
NNH                           2.171664e-09        8.995282e-10
NH2OH                         1.129366e-09        5.258902e-12
H2NO                          1.225792e-09        1.742573e-10
HNOH                          2.870458e-10        3.932987e-11
HNO                           3.567720e-07        1.635920e-07
HON                           1.398682e-08        1.398025e-08
NO2                           6.206832e-07        4.086199e-07
HONO                          1.987697e-07        9.187721e-08
HNO2                          1.341972e-09        6.267824e-10
NO3                           2.449677e-13        3.947659e-14
HONO2                         5.319400e-12        1.696885e-12
N2O                           9.514100e-06        1.210101e-07
N2H4                          2.972380e-12        1.799922e-17
N2H3                          4.153166e-11        1.055491e-15
N2H2                          3.412630e-09        1.663568e-13
H2NN                          2.519320e-11        2.654643e-15
AR                            0.000000e+00        0.000000e+00
HE                            0.000000e+00        0.000000e+00
N2                            7.734017e-01        7.735075e-01
--------------------------------------------------------------

-----------------------------------------------------------------------------
Mole fractions                Initial             Final
-----------------------------------------------------------------------------
NO                            2.827832e-03        2.665619e-03
NH3                           1.022261e-05        5.397564e-08
H2                            7.767105e-03        6.510622e-03
O2                            5.585468e-04        1.249759e-04
H                             2.414872e-04        1.021501e-04
O                             2.417904e-05        6.239951e-06
OH                            1.209824e-03        6.251379e-04
HO2                           2.374245e-07        3.993349e-08
H2O                           3.037026e-01        3.056147e-01
H2O2                          7.514123e-08        1.883489e-08
NH2                           1.217359e-06        3.942197e-09
NH                            1.923109e-07        1.598948e-09
N                             5.983068e-08        3.218291e-09
NNH                           1.852974e-09        7.682035e-10
NH2OH                         8.467010e-10        3.946166e-12
H2NO                          9.479218e-10        1.348750e-10
HNOH                          2.219764e-10        3.044128e-11
HNO                           2.848636e-07        1.307354e-07
HON                           1.116774e-08        1.117239e-08
NO2                           3.340943e-07        2.201422e-07
HONO                          1.046975e-07        4.843716e-08
HNO2                          7.068537e-10        3.304363e-10
NO3                           9.783474e-14        1.578006e-14
HONO2                         2.090467e-12        6.674490e-13
N2O                           5.352920e-06        6.814432e-08
N2H4                          2.296860e-12        1.392095e-17
N2H3                          3.313520e-11        8.428483e-16
N2H2                          2.814089e-09        1.373011e-13
H2NN                          2.077457e-11        2.190986e-15
AR                            0.000000e+00        0.000000e+00
HE                            0.000000e+00        0.000000e+00
N2                            6.836503e-01        6.843499e-01
-----------------------------------------------------------------------------
