
-----------------------------------------------------------------------------
Status                        Inlet               Outlet
-----------------------------------------------------------------------------
Time[s]                       0                   0.00107479
T[K]                          667.002             2279.221
P[atm]                        5.00000             5.00000
rho[kg/m3]                    2.39401             0.65754
MW[kg/kmol]                   26.20603            24.59543
Phi[-]                        0.00000             1.02943
H[J/kg]                       6.207361e+04        6.207361e+04
U[J/kg]                       -1.495481e+05       -7.084150e+05
Conv.(%) O2                   0.000000e+00        9.829910e+01
Conv.(%) N2                   0.000000e+00        -1.790450e+01
Total species (kmol/s)        1.351961e-03        1.440493e-03
Element(kmol/s) H             9.074935e-04        9.074935e-04
Element(kmol/s) O             4.407747e-04        4.407747e-04
Element(kmol/s) N             1.960650e-03        1.960650e-03
-----------------------------------------------------------------------------

-----------------------------------------------------------------------------
Mass fractions                Inlet               Outlet
-----------------------------------------------------------------------------
NO                            4.410713e-44        3.138665e-03
NH3                           1.454109e-01        6.015590e-04
H2                            1.397229e-42        1.334246e-03
O2                            1.990417e-01        3.385506e-03
H                             3.792651e-34        2.802019e-05
O                             5.511406e-27        4.057840e-05
OH                            1.454841e-34        1.514938e-03
HO2                           1.730028e-118       1.538857e-06
H2O                           6.735950e-83        2.166734e-01
H2O2                          4.336042e-42        1.175976e-07
NH2                           7.701419e-57        8.849765e-05
NH                            3.256735e-59        1.989641e-05
N                             7.666417e-45        8.154826e-06
NNH                           1.137781e-38        1.768302e-08
NH2OH                         1.351219e-86        6.090079e-08
H2NO                          3.672941e-63        1.520901e-07
HNOH                          7.003351e-69        4.277005e-08
HNO                           4.693866e-61        4.903453e-06
HON                           2.246786e-133       1.396144e-08
NO2                           3.310340e-44        5.860679e-07
HONO                          6.366980e-86        1.194366e-07
HNO2                          1.099868e-90        9.520887e-10
NO3                           3.088478e-63        2.048795e-13
HONO2                         5.539168e-86        3.256775e-12
N2O                           1.513392e-26        2.366750e-04
N2H4                          2.295548e-64        5.412593e-09
N2H3                          7.005606e-69        1.884745e-08
N2H2                          1.388577e-78        2.392848e-06
H2NN                          1.642315e-69        1.716198e-08
AR                            0.000000e+00        0.000000e+00
HE                            0.000000e+00        0.000000e+00
N2                            6.555474e-01        7.729199e-01
--------------------------------------------------------------

-----------------------------------------------------------------------------
Mole fractions                Inlet               Outlet
-----------------------------------------------------------------------------
NO                            3.852139e-44        2.572713e-03
NH3                           2.237474e-01        8.687453e-04
H2                            1.816261e-41        1.627795e-02
O2                            1.630131e-01        2.602287e-03
H                             9.860150e-33        6.836989e-04
O                             9.027567e-27        6.238159e-05
OH                            2.241759e-34        2.190895e-03
HO2                           1.373604e-118       1.146727e-06
H2O                           9.798639e-83        2.958187e-01
H2O2                          3.340696e-42        8.503452e-08
NH2                           1.259587e-56        1.358446e-04
NH                            5.684055e-59        3.259146e-05
N                             1.434328e-44        1.431937e-05
NNH                           1.027383e-38        1.498593e-08
NH2OH                         1.072059e-86        4.534911e-08
H2NO                          3.005846e-63        1.168172e-07
HNOH                          5.731372e-69        3.285078e-08
HNO                           3.966195e-61        3.888648e-06
HON                           1.898476e-133       1.107202e-08
NO2                           1.885683e-44        3.133266e-07
HONO                          3.549087e-86        6.248470e-08
HNO2                          6.130891e-91        4.980969e-10
NO3                           1.305347e-63        8.127056e-14
HONO2                         2.303682e-86        1.271215e-12
N2O                           9.010970e-27        1.322592e-04
N2H4                          1.877214e-64        4.154186e-09
N2H3                          5.914978e-69        1.493528e-08
N2H2                          1.211757e-78        1.959811e-06
H2NN                          1.433185e-69        1.405615e-08
AR                            0.000000e+00        0.000000e+00
HE                            0.000000e+00        0.000000e+00
N2                            6.132396e-01        6.785999e-01
-----------------------------------------------------------------------------
