
-----------------------------------------------------------------------------
Status                        Inlet               Outlet
-----------------------------------------------------------------------------
Time[s]                       0                   0.00100651
T[K]                          2279.221            2106.483
P[atm]                        5.00000             5.00000
rho[kg/m3]                    0.65754             0.71321
MW[kg/kmol]                   24.59543            24.65591
Phi[-]                        0.00000             1.02943
H[J/kg]                       6.207361e+04        -3.010089e+05
U[J/kg]                       -7.084150e+05       -1.011357e+06
Conv.(%) O2                   0.000000e+00        8.953891e+01
Conv.(%) N2                   0.000000e+00        -1.265825e-01
Total species (kmol/s)        1.440493e-03        1.436959e-03
Element(kmol/s) H             9.074935e-04        9.074935e-04
Element(kmol/s) O             4.407747e-04        4.407747e-04
Element(kmol/s) N             1.960650e-03        1.960650e-03
-----------------------------------------------------------------------------

-----------------------------------------------------------------------------
Mass fractions                Inlet               Outlet
-----------------------------------------------------------------------------
NO                            3.138665e-03        2.625083e-03
NH3                           6.015590e-04        1.145193e-05
H2                            1.334246e-03        9.880399e-04
O2                            3.385506e-03        3.541608e-04
H                             2.802019e-05        1.225986e-05
O                             4.057840e-05        1.047683e-05
OH                            1.514938e-03        7.023135e-04
HO2                           1.538857e-06        1.764353e-07
H2O                           2.166734e-01        2.213881e-01
H2O2                          1.175976e-07        6.036410e-08
NH2                           8.849765e-05        1.074696e-06
NH                            1.989641e-05        1.734318e-07
N                             8.154826e-06        6.237265e-08
NNH                           1.768302e-08        2.739211e-09
NH2OH                         6.090079e-08        1.108712e-09
H2NO                          1.520901e-07        1.421813e-09
HNOH                          4.277005e-08        3.411617e-10
HNO                           4.903453e-06        3.080791e-07
HON                           1.396144e-08        1.397883e-08
NO2                           5.860679e-07        2.951658e-07
HONO                          1.194366e-07        1.063833e-07
HNO2                          9.520887e-10        7.400444e-10
NO3                           2.048795e-13        6.432520e-14
HONO2                         3.256775e-12        1.769140e-12
N2O                           2.366750e-04        7.551037e-06
N2H4                          5.412593e-09        3.824718e-12
N2H3                          1.884745e-08        5.172830e-11
N2H2                          2.392848e-06        4.093980e-09
H2NN                          1.716198e-08        2.868524e-11
AR                            0.000000e+00        0.000000e+00
HE                            0.000000e+00        0.000000e+00
N2                            7.729199e-01        7.738983e-01
--------------------------------------------------------------

-----------------------------------------------------------------------------
Mole fractions                Inlet               Outlet
-----------------------------------------------------------------------------
NO                            2.572713e-03        2.157029e-03
NH3                           8.687453e-04        1.657905e-05
H2                            1.627795e-02        1.208384e-02
O2                            2.602287e-03        2.728969e-04
H                             6.836989e-04        2.998789e-04
O                             6.238159e-05        1.614575e-05
OH                            2.190895e-03        1.018179e-03
HO2                           1.146727e-06        1.317994e-07
H2O                           2.958187e-01        3.029989e-01
H2O2                          8.503452e-08        4.375645e-08
NH2                           1.358446e-04        1.653723e-06
NH                            3.259146e-05        2.847898e-07
N                             1.431937e-05        1.097918e-07
NNH                           1.498593e-08        2.327123e-09
NH2OH                         4.534911e-08        8.276202e-10
H2NO                          1.168172e-07        1.094750e-09
HNOH                          3.285078e-08        2.626836e-10
HNO                           3.888648e-06        2.449207e-07
HON                           1.107202e-08        1.111307e-08
NO2                           3.133266e-07        1.581911e-07
HONO                          6.248470e-08        5.579257e-08
HNO2                          4.980969e-10        3.881154e-10
NO3                           8.127056e-14        2.557894e-14
HONO2                         1.271215e-12        6.922450e-13
N2O                           1.322592e-04        4.230061e-06
N2H4                          4.154186e-09        2.942704e-12
N2H3                          1.493528e-08        4.109183e-11
N2H2                          1.959811e-06        3.361332e-09
H2NN                          1.405615e-08        2.355181e-11
AR                            0.000000e+00        0.000000e+00
HE                            0.000000e+00        0.000000e+00
N2                            6.785999e-01        6.811297e-01
-----------------------------------------------------------------------------
