t[s](1)             csi[m](2)           T0[K](3)            P0[Pa](4)           T[K](5)             P[Pa](6)            v[m/s](7)           rho[kg/m3](8)       MW[kg/kmol](9)      NO_x(10)        NH3_x(11)       H2_x(12)        O2_x(13)        H_x(14)         O_x(15)         OH_x(16)        HO2_x(17)       H2O_x(18)       H2O2_x(19)      NH2_x(20)       NH_x(21)        N_x(22)         NNH_x(23)       NH2OH_x(24)     H2NO_x(25)      HNOH_x(26)      HNO_x(27)       HON_x(28)       NO2_x(29)       HONO_x(30)      HNO2_x(31)      NO3_x(32)       HONO2_x(33)     N2O_x(34)       N2H4_x(35)      N2H3_x(36)      N2H2_x(37)      H2NN_x(38)      AR_x(39)        HE_x(40)        N2_x(41)        NO_w(42)        NH3_w(43)       H2_w(44)        O2_w(45)        H_w(46)         O_w(47)         OH_w(48)        HO2_w(49)       H2O_w(50)       H2O2_w(51)      NH2_w(52)       NH_w(53)        N_w(54)         NNH_w(55)       NH2OH_w(56)     H2NO_w(57)      HNOH_w(58)      HNO_w(59)       HON_w(60)       NO2_w(61)       HONO_w(62)      HNO2_w(63)      NO3_w(64)       HONO2_w(65)     N2O_w(66)       N2H4_w(67)      N2H3_w(68)      N2H2_w(69)      H2NN_w(70)      AR_w(71)        HE_w(72)        N2_w(73)        
0.000000e+00        0.000000e+00        1.200000e+03        5.066250e+05        1.200000e+03        5.066250e+05        9.478869e+01        1.422233e+00        2.800913e+01        4.522213e-04    1.327495e-12    2.474525e-06    1.650152e-01    7.021313e-08    2.265644e-06    1.141148e-04    2.535838e-07    6.619475e-02    2.805537e-08    1.358032e-13    1.127720e-13    7.593576e-13    4.232376e-13    6.953001e-16    3.801597e-14    5.243446e-15    6.091226e-10    2.470813e-09    1.995318e-06    5.987090e-08    2.709227e-10    2.181364e-12    4.097722e-11    8.747208e-08    1.687913e-24    1.620135e-21    3.799581e-18    2.619746e-20    0.000000e+00    1.487914e-34    7.682165e-01    4.844618e-04    8.071853e-13    1.781077e-07    1.885155e-01    2.526849e-09    1.294151e-06    6.928991e-05    2.988235e-07    4.257534e-02    3.407015e-08    7.768804e-14    6.045427e-14    3.797448e-13    4.385428e-13    8.199384e-16    4.346252e-14    5.994674e-15    6.744703e-10    2.735886e-09    3.277310e-06    1.004926e-07    4.547406e-10    4.828900e-12    9.218625e-11    1.374519e-07    1.931187e-24    1.795334e-21    4.073723e-18    2.808762e-20    0.000000e+00    2.126493e-35    7.683501e-01    
2.035545e-08        1.929467e-06        1.200000e+03        5.066250e+05        1.200000e+03        5.066250e+05        9.478869e+01        1.422233e+00        2.800913e+01        4.522046e-04    1.327140e-12    2.473955e-06    1.650152e-01    6.868580e-08    2.324565e-06    1.139739e-04    2.553098e-07    6.619481e-02    3.002913e-08    1.359355e-13    1.091715e-13    6.801789e-13    4.186569e-14    7.035753e-16    3.763486e-14    5.174370e-15    6.089667e-10    2.470813e-09    1.995630e-06    7.635446e-08    1.032044e-10    3.063057e-12    1.700481e-10    8.747244e-08    1.713357e-24    1.748321e-21    3.798810e-18    2.574512e-20    0.000000e+00    1.487914e-34    7.682165e-01    4.844438e-04    8.069697e-13    1.780667e-07    1.885155e-01    2.471883e-09    1.327807e-06    6.920435e-05    3.008574e-07    4.257538e-02    3.646707e-08    7.776375e-14    5.852414e-14    3.401486e-13    4.337964e-14    8.296970e-16    4.302680e-14    5.915702e-15    6.742977e-10    2.735886e-09    3.277823e-06    1.281601e-07    1.732274e-10    6.780710e-12    3.825564e-10    1.374525e-07    1.960298e-24    1.937382e-21    4.072896e-18    2.760264e-20    0.000000e+00    2.126493e-35    7.683501e-01    
1.892693e-07        1.794059e-05        1.200000e+03        5.066250e+05        1.200000e+03        5.066250e+05        9.478867e+01        1.422234e+00        2.800914e+01        4.520674e-04    1.324229e-12    2.469187e-06    1.650152e-01    6.122167e-08    2.793070e-06    1.128359e-04    2.678381e-07    6.619531e-02    4.613002e-08    1.369525e-13    8.393836e-14    2.881498e-13    1.555318e-13    7.717584e-16    3.463317e-14    4.640869e-15    6.050385e-10    2.470813e-09    1.999754e-06    2.082845e-07    3.611467e-10    1.075783e-11    1.114329e-09    8.747584e-08    1.933845e-24    2.700820e-21    3.792338e-18    2.221284e-20    0.000000e+00    1.487915e-34    7.682167e-01    4.842968e-04    8.051997e-13    1.777235e-07    1.885155e-01    2.203261e-09    1.595420e-06    6.851336e-05    3.156207e-07    4.257570e-02    5.601981e-08    7.834548e-14    4.499726e-14    1.440999e-13    1.611561e-13    9.101024e-16    3.959506e-14    5.305765e-15    6.699479e-10    2.735886e-09    3.284596e-06    3.496030e-07    6.061804e-10    2.381468e-11    2.506900e-09    1.374578e-07    2.212564e-24    2.992883e-21    4.065956e-18    2.381550e-20    0.000000e+00    2.126493e-35    7.683501e-01    
6.889564e-07        6.530525e-05        1.200000e+03        5.066250e+05        1.200000e+03        5.066250e+05        9.478863e+01        1.422234e+00        2.800915e+01        4.516780e-04    1.315899e-12    2.455287e-06    1.650153e-01    6.338895e-08    4.009142e-06    1.097545e-04    3.004436e-07    6.619665e-02    9.127522e-08    1.393881e-13    4.028187e-14    2.929767e-14    1.609417e-13    9.686466e-16    2.711983e-14    3.384619e-15    5.924013e-10    2.470814e-09    2.025127e-06    5.699691e-07    9.816471e-10    3.597140e-11    2.990570e-09    8.748916e-08    2.622501e-24    5.172716e-21    3.771950e-18    1.474926e-20    0.000000e+00    1.487915e-34    7.682170e-01    4.838794e-04    8.001339e-13    1.767229e-07    1.885155e-01    2.281257e-09    2.290047e-06    6.664232e-05    3.540429e-07    4.257654e-02    1.108436e-07    7.973880e-14    2.159410e-14    1.465137e-14    1.667616e-13    1.142284e-15    3.100527e-14    3.869531e-15    6.559547e-10    2.735886e-09    3.326270e-06    9.566858e-07    1.647682e-09    7.963007e-11    6.727865e-09    1.374787e-07    3.000473e-24    5.732082e-21    4.044095e-18    1.581341e-20    0.000000e+00    2.126493e-35    7.683501e-01    
1.416330e-06        1.342520e-04        1.200000e+03        5.066250e+05        1.200000e+03        5.066250e+05        9.478856e+01        1.422235e+00        2.800917e+01        4.511515e-04    1.304439e-12    2.436541e-06    1.650154e-01    8.016759e-08    5.406981e-06    1.059497e-04    3.577672e-07    6.619829e-02    1.510653e-07    1.417147e-13    1.819031e-14    4.854091e-15    2.035444e-13    1.241850e-15    1.912552e-14    2.186049e-15    6.095220e-10    2.470816e-09    2.092181e-06    1.027639e-06    1.779108e-09    7.529875e-11    4.290767e-09    8.751601e-08    3.634291e-24    9.068788e-21    3.738386e-18    1.016580e-20    0.000000e+00    1.487916e-34    7.682176e-01    4.833150e-04    7.931650e-13    1.753735e-07    1.885155e-01    2.885089e-09    3.088499e-06    6.433201e-05    4.215928e-07    4.257756e-02    1.834519e-07    8.106970e-14    9.751359e-15    2.427464e-15    2.109047e-13    1.464459e-15    2.186560e-14    2.499241e-15    6.749117e-10    2.735886e-09    3.436403e-06    1.724877e-06    2.986207e-09    1.666891e-10    9.652904e-09    1.375208e-07    4.158085e-24    1.004946e-20    4.008107e-18    1.089926e-20    0.000000e+00    2.126493e-35    7.683501e-01    
2.852889e-06        2.704213e-04        1.200000e+03        5.066250e+05        1.200000e+03        5.066250e+05        9.478845e+01        1.422237e+00        2.800920e+01        4.502238e-04    1.283616e-12    2.404323e-06    1.650157e-01    1.036106e-07    7.234907e-06    1.002238e-04    5.037214e-07    6.620072e-02    2.528249e-07    1.432648e-13    1.358164e-14    5.972794e-15    2.631080e-13    1.735170e-15    9.957651e-15    1.013251e-15    7.377090e-10    2.470819e-09    2.304679e-06    1.741030e-06    3.022001e-09    1.508090e-10    5.151905e-09    8.758768e-08    5.576436e-24    1.775095e-20    3.662198e-18    1.073086e-20    0.000000e+00    1.487918e-34    7.682185e-01    4.823206e-04    7.805031e-13    1.730543e-07    1.885156e-01    3.728755e-09    4.132616e-06    6.085520e-05    5.935844e-07    4.257908e-02    3.070271e-07    8.195635e-14    7.280760e-15    2.986909e-15    2.726218e-13    2.046208e-15    1.138425e-14    1.158416e-15    8.168496e-10    2.735886e-09    3.785425e-06    2.922291e-06    5.072380e-09    3.338461e-10    1.159018e-08    1.376332e-07    6.380134e-24    1.967047e-20    3.926417e-18    1.150506e-20    0.000000e+00    2.126493e-35    7.683501e-01    
4.723450e-06        4.477287e-04        1.200000e+03        5.066250e+05        1.200000e+03        5.066250e+05        9.478831e+01        1.422239e+00        2.800924e+01        4.491795e-04    1.259044e-12    2.368515e-06    1.650160e-01    1.159349e-07    8.440049e-06    9.508818e-05    7.035106e-07    6.620288e-02    3.615675e-07    1.415682e-13    1.899573e-14    7.120894e-15    2.944462e-13    2.290775e-15    4.894079e-15    4.805088e-16    9.469395e-10    2.470823e-09    2.692992e-06    2.395710e-06    4.162537e-09    2.385983e-10    5.735102e-09    8.770312e-08    7.975590e-24    2.822330e-20    3.553754e-18    1.469081e-20    0.000000e+00    1.487920e-34    7.682197e-01    4.812011e-04    7.655607e-13    1.704768e-07    1.885157e-01    4.172277e-09    4.820992e-06    5.773682e-05    8.290145e-07    4.258040e-02    4.390820e-07    8.098569e-14    1.018310e-14    3.561051e-15    3.050927e-13    2.701405e-15    5.595231e-15    5.493491e-16    1.048525e-09    2.735886e-09    4.423222e-06    4.021156e-06    6.986742e-09    5.281845e-10    1.290218e-08    1.378144e-07    9.125050e-24    3.127520e-20    3.810143e-18    1.575070e-20    0.000000e+00    2.126493e-35    7.683501e-01    
7.081721e-06        6.712651e-04        1.200000e+03        5.066250e+05        1.200000e+03        5.066250e+05        9.478815e+01        1.422241e+00        2.800929e+01        4.480411e-04    1.230721e-12    2.328687e-06    1.650165e-01    1.178907e-07    8.958572e-06    9.068641e-05    9.142466e-07    6.620475e-02    4.721673e-07    1.367393e-13    2.447261e-14    7.631131e-15    2.994546e-13    2.868078e-15    2.901891e-15    3.016578e-16    1.149809e-09    2.470827e-09    3.294230e-06    2.931509e-06    5.095946e-09    3.358871e-10    6.656804e-09    8.786415e-08    1.090034e-23    3.773898e-20    3.415428e-18    1.733597e-20    0.000000e+00    1.487923e-34    7.682209e-01    4.799807e-04    7.483376e-13    1.676098e-07    1.885159e-01    4.242657e-09    5.117166e-06    5.506401e-05    1.077343e-06    4.258153e-02    5.733918e-07    7.822309e-14    1.311909e-14    3.816207e-15    3.102818e-13    3.382186e-15    3.317626e-15    3.448744e-16    1.273156e-09    2.735886e-09    5.410742e-06    4.920476e-06    8.553437e-09    7.435512e-10    1.497569e-08    1.380672e-07    1.247131e-23    4.181978e-20    3.661831e-18    1.858666e-20    0.000000e+00    2.126493e-35    7.683501e-01    
9.990931e-06        9.470234e-04        1.200000e+03        5.066250e+05        1.200000e+03        5.066250e+05        9.478797e+01        1.422244e+00        2.800934e+01        4.468187e-04    1.198479e-12    2.283684e-06    1.650170e-01    1.124906e-07    8.906674e-06    8.683518e-05    1.091803e-06    6.620645e-02    5.800879e-07    1.297052e-13    2.728144e-14    7.610063e-15    2.857773e-13    3.424239e-15    2.542319e-15    2.746237e-16    1.278004e-09    2.470831e-09    4.128265e-06    3.318400e-06    5.769978e-09    4.407308e-10    8.017051e-09    8.806753e-08    1.424626e-23    4.402173e-20    3.253033e-18    1.771258e-20    0.000000e+00    1.487926e-34    7.682223e-01    4.786704e-04    7.287319e-13    1.643704e-07    1.885162e-01    4.048310e-09    5.087512e-06    5.272547e-05    1.286573e-06    4.258255e-02    7.044475e-07    7.419903e-14    1.462479e-14    3.805664e-15    2.961094e-13    4.038031e-15    2.906535e-15    3.139667e-16    1.415099e-09    2.735886e-09    6.780624e-06    5.569854e-06    9.684768e-09    9.756413e-10    1.803578e-08    1.383865e-07    1.629941e-23    4.878181e-20    3.487714e-18    1.899041e-20    0.000000e+00    2.126493e-35    7.683501e-01    
1.363345e-05        1.292290e-03        1.200000e+03        5.066250e+05        1.200000e+03        5.066250e+05        9.478778e+01        1.422247e+00        2.800940e+01        4.454780e-04    1.161135e-12    2.230652e-06    1.650177e-01    1.024803e-07    8.462077e-06    8.311831e-05    1.210147e-06    6.620821e-02    6.832861e-07    1.213136e-13    2.678393e-14    7.226235e-15    2.603835e-13    3.932701e-15    2.731256e-15    2.907807e-16    1.308857e-09    2.470836e-09    5.227330e-06    3.558650e-06    6.188630e-09    5.509763e-10    9.804608e-09    8.831449e-08    1.778395e-23    4.615056e-20    3.068491e-18    1.641194e-20    0.000000e+00    1.487929e-34    7.682239e-01    4.772331e-04    7.060235e-13    1.605531e-07    1.885166e-01    3.688053e-09    4.833548e-06    5.046853e-05    1.426025e-06    4.258360e-02    8.297676e-07    6.939839e-14    1.435807e-14    3.613711e-15    2.697969e-13    4.637626e-15    3.122533e-15    3.324377e-16    1.449259e-09    2.735886e-09    8.585807e-06    5.973095e-06    1.038744e-08    1.219688e-09    2.205717e-08    1.387743e-07    2.034691e-23    5.114073e-20    3.289853e-18    1.759590e-20    0.000000e+00    2.126493e-35    7.683501e-01    
