t[s](1)             csi[m](2)           T0[K](3)            P0[Pa](4)           T[K](5)             P[Pa](6)            v[m/s](7)           rho[kg/m3](8)       MW[kg/kmol](9)      NO_x(10)        NH3_x(11)       H2_x(12)        O2_x(13)        H_x(14)         O_x(15)         OH_x(16)        HO2_x(17)       H2O_x(18)       H2O2_x(19)      NH2_x(20)       NH_x(21)        N_x(22)         NNH_x(23)       NH2OH_x(24)     H2NO_x(25)      HNOH_x(26)      HNO_x(27)       HON_x(28)       NO2_x(29)       HONO_x(30)      HNO2_x(31)      NO3_x(32)       HONO2_x(33)     N2O_x(34)       N2H4_x(35)      N2H3_x(36)      N2H2_x(37)      H2NN_x(38)      AR_x(39)        HE_x(40)        N2_x(41)        NO_w(42)        NH3_w(43)       H2_w(44)        O2_w(45)        H_w(46)         O_w(47)         OH_w(48)        HO2_w(49)       H2O_w(50)       H2O2_w(51)      NH2_w(52)       NH_w(53)        N_w(54)         NNH_w(55)       NH2OH_w(56)     H2NO_w(57)      HNOH_w(58)      HNO_w(59)       HON_w(60)       NO2_w(61)       HONO_w(62)      HNO2_w(63)      NO3_w(64)       HONO2_w(65)     N2O_w(66)       N2H4_w(67)      N2H3_w(68)      N2H2_w(69)      H2NN_w(70)      AR_w(71)        HE_w(72)        N2_w(73)        
0.000000e+00        0.000000e+00        1.200000e+03        5.066250e+05        1.200000e+03        5.066250e+05        9.478869e+01        1.422256e+00        2.800957e+01        5.614826e-04    1.340757e-12    8.112867e-07    1.649751e-01    1.558064e-08    8.541354e-07    6.004863e-05    1.621663e-07    6.622456e-02    1.924562e-08    7.726793e-14    1.428603e-14    1.288562e-13    8.499037e-14    5.365906e-16    1.577442e-14    1.827997e-15    3.893409e-10    1.794176e-09    3.500080e-06    9.329263e-08    3.642547e-10    3.452261e-12    8.804277e-11    8.271570e-08    2.607445e-24    6.423128e-22    1.554844e-18    1.392210e-20    0.000000e+00    0.000000e+00    7.681733e-01    6.015031e-04    8.152364e-13    5.839268e-08    1.884667e-01    5.607113e-10    4.878800e-07    3.646064e-05    1.910939e-07    4.259384e-02    2.337131e-08    4.420146e-14    7.658263e-15    6.443826e-14    8.806241e-14    6.327689e-16    1.803413e-14    2.089861e-15    4.311032e-10    1.986627e-09    5.748791e-06    1.565881e-07    6.113876e-10    7.642172e-12    1.980662e-10    1.299758e-07    2.983200e-24    7.117604e-22    1.667001e-18    1.492635e-20    0.000000e+00    0.000000e+00    7.682947e-01    
1.958672e-08        1.856600e-06        1.200000e+03        5.066250e+05        1.200000e+03        5.066250e+05        9.478869e+01        1.422256e+00        2.800957e+01        5.614722e-04    1.340579e-12    8.111971e-07    1.649751e-01    1.516995e-08    8.689802e-07    6.000705e-05    1.624021e-07    6.622457e-02    1.976654e-08    7.732152e-14    1.384350e-14    1.158736e-13    1.943856e-14    5.388878e-16    1.570165e-14    1.807638e-15    3.884367e-10    1.794176e-09    3.500234e-06    1.036537e-07    1.569221e-10    3.976391e-12    2.015837e-10    8.271583e-08    2.613918e-24    6.527731e-22    1.554712e-18    1.365555e-20    0.000000e+00    0.000000e+00    7.681733e-01    6.014920e-04    8.151284e-13    5.838623e-08    1.884667e-01    5.459316e-10    4.963594e-07    3.643540e-05    1.913719e-07    4.259385e-02    2.400390e-08    4.423212e-14    7.421039e-15    5.794594e-14    2.014118e-14    6.354778e-16    1.795094e-14    2.066586e-15    4.301021e-10    1.986627e-09    5.749043e-06    1.739788e-07    2.633877e-10    8.802423e-12    4.534947e-10    1.299760e-07    2.990607e-24    7.233516e-22    1.666859e-18    1.464057e-20    0.000000e+00    0.000000e+00    7.682947e-01    
2.057182e-07        1.949976e-05        1.200000e+03        5.066250e+05        1.200000e+03        5.066250e+05        9.478868e+01        1.422256e+00        2.800958e+01        5.613745e-04    1.338902e-12    8.103244e-07    1.649751e-01    1.268575e-08    1.004724e-06    5.962104e-05    1.640599e-07    6.622472e-02    2.465976e-08    7.780768e-14    1.037446e-14    4.546717e-14    3.224790e-14    5.606494e-16    1.502071e-14    1.629929e-15    3.788940e-10    1.794177e-09    3.502384e-06    1.981529e-07    3.486741e-10    9.008617e-12    1.144428e-09    8.271719e-08    2.675034e-24    7.382459e-22    1.553449e-18    1.138792e-20    0.000000e+00    0.000000e+00    7.681734e-01    6.013872e-04    8.141089e-13    5.832341e-08    1.884667e-01    4.565308e-10    5.738960e-07    3.620101e-05    1.933254e-07    4.259394e-02    2.994608e-08    4.451022e-14    5.561401e-15    2.273718e-14    3.341352e-14    6.611400e-16    1.717245e-14    1.863420e-15    4.195357e-10    1.986627e-09    5.752575e-06    3.325920e-07    5.852360e-10    1.994212e-11    2.574574e-09    1.299781e-07    3.060530e-24    8.180658e-22    1.665504e-18    1.220937e-20    0.000000e+00    0.000000e+00    7.682947e-01    
8.870666e-07        8.408386e-05        1.200000e+03        5.066250e+05        1.200000e+03        5.066250e+05        9.478865e+01        1.422256e+00        2.800959e+01        5.610336e-04    1.332927e-12    8.070908e-07    1.649751e-01    1.235193e-08    1.436774e-06    5.833051e-05    1.677709e-07    6.622521e-02    4.181060e-08    7.931341e-14    4.230389e-15    7.564237e-15    3.137802e-14    6.392742e-16    1.270441e-14    1.153994e-15    3.442974e-10    1.794177e-09    3.518854e-06    5.201487e-07    8.982726e-10    2.744825e-11    3.215936e-09    8.272369e-08    2.922655e-24    9.884395e-22    1.548616e-18    6.006127e-21    0.000000e+00    0.000000e+00    7.681737e-01    6.010218e-04    8.104755e-13    5.809065e-08    1.884667e-01    4.445172e-10    8.206812e-07    3.541741e-05    1.976982e-07    4.259424e-02    5.077353e-08    4.537156e-14    2.267770e-15    3.782714e-15    3.251218e-14    7.538571e-16    1.452433e-14    1.319305e-15    3.812281e-10    1.986627e-09    5.779624e-06    8.730494e-07    1.507716e-09    6.076137e-11    7.234757e-09    1.299883e-07    3.343834e-24    1.095310e-21    1.660322e-18    6.439367e-21    0.000000e+00    0.000000e+00    7.682947e-01    
2.086105e-06        1.977391e-04        1.200000e+03        5.066250e+05        1.200000e+03        5.066250e+05        9.478859e+01        1.422257e+00        2.800960e+01        5.604918e-04    1.322952e-12    8.018386e-07    1.649753e-01    1.609267e-08    2.002411e-06    5.646067e-05    1.786455e-07    6.622591e-02    6.942174e-08    8.111685e-14    2.083734e-15    1.917055e-15    4.087494e-14    7.732542e-16    9.389939e-15    7.024327e-16    3.118407e-10    1.794178e-09    3.574007e-06    1.005131e-06    1.743038e-09    5.664826e-11    4.408178e-09    8.273985e-08    3.389824e-24    1.495542e-21    1.539216e-18    2.407628e-21    0.000000e+00    0.000000e+00    7.681741e-01    6.004410e-04    8.044095e-13    5.771259e-08    1.884667e-01    5.791376e-10    1.143771e-06    3.428205e-05    2.105125e-07    4.259467e-02    8.430361e-08    4.640320e-14    1.117019e-15    9.586780e-16    4.235234e-14    9.118510e-16    1.073505e-14    8.030567e-16    3.452896e-10    1.986627e-09    5.870207e-06    1.687072e-06    2.925619e-09    1.254005e-10    9.916887e-09    1.300136e-07    3.878323e-24    1.657240e-21    1.650243e-18    2.581296e-21    0.000000e+00    0.000000e+00    7.682947e-01    
4.464195e-06        4.231548e-04        1.200000e+03        5.066250e+05        1.200000e+03        5.066250e+05        9.478849e+01        1.422259e+00        2.800963e+01        5.595895e-04    1.304693e-12    7.928534e-07    1.649754e-01    2.043540e-08    2.635426e-06    5.380537e-05    2.128377e-07    6.622689e-02    1.166023e-07    8.249079e-14    2.274252e-15    2.681067e-15    5.190812e-14    1.021092e-15    5.245518e-15    3.478541e-16    3.153271e-10    1.794180e-09    3.753136e-06    1.727267e-06    3.000638e-09    9.803037e-11    4.701950e-09    8.278350e-08    4.228626e-24    2.689739e-21    1.518441e-18    1.422504e-21    0.000000e+00    0.000000e+00    7.681749e-01    5.994738e-04    7.933064e-13    5.706581e-08    1.884667e-01    7.354213e-10    1.505345e-06    3.266976e-05    2.508038e-07    4.259525e-02    1.415981e-07    4.718912e-14    1.219148e-15    1.340743e-15    5.378427e-14    1.204109e-15    5.996936e-15    3.976841e-16    3.491496e-10    1.986627e-09    6.164416e-06    2.899146e-06    5.036446e-09    2.170066e-10    1.057776e-08    1.300820e-07    4.837998e-24    2.980551e-21    1.627967e-18    1.525111e-21    0.000000e+00    0.000000e+00    7.682947e-01    
7.571683e-06        7.177087e-04        1.200000e+03        5.066250e+05        1.200000e+03        5.066250e+05        9.478839e+01        1.422260e+00        2.800966e+01        5.586522e-04    1.282861e-12    7.826720e-07    1.649757e-01    2.193971e-08    2.938287e-06    5.153363e-05    2.591733e-07    6.622773e-02    1.672983e-07    8.185421e-14    2.692573e-15    3.015977e-15    5.573611e-14    1.308416e-15    2.712770e-15    1.816478e-16    3.544996e-10    1.794182e-09    4.076473e-06    2.340506e-06    4.068570e-09    1.291636e-10    4.875359e-09    8.285162e-08    5.142286e-24    4.138173e-21    1.489805e-18    1.548640e-21    0.000000e+00    0.000000e+00    7.681757e-01    5.984691e-04    7.800311e-13    5.633294e-08    1.884668e-01    7.895570e-10    1.678337e-06    3.129036e-05    3.054044e-07    4.259574e-02    2.031615e-07    4.682491e-14    1.443394e-15    1.508222e-15    5.775055e-14    1.542931e-15    3.101370e-15    2.076686e-16    3.925234e-10    1.986627e-09    6.695480e-06    3.928437e-06    6.828918e-09    2.859250e-10    1.096786e-08    1.301889e-07    5.883316e-24    4.585582e-21    1.597264e-18    1.660343e-21    0.000000e+00    0.000000e+00    7.682947e-01    
1.147435e-05        1.087636e-03        1.200000e+03        5.066250e+05        1.200000e+03        5.066250e+05        9.478829e+01        1.422262e+00        2.800969e+01        5.577213e-04    1.257494e-12    7.710024e-07    1.649759e-01    2.140485e-08    2.970814e-06    4.958130e-05    3.027066e-07    6.622849e-02    2.185619e-07    7.946002e-14    2.926568e-15    3.056734e-15    5.438593e-14    1.614461e-15    1.526660e-15    1.123329e-16    3.899662e-10    1.794184e-09    4.561466e-06    2.785795e-06    4.844042e-09    1.512859e-10    5.227180e-09    8.294184e-08    6.057460e-24    5.448761e-21    1.454290e-18    1.713912e-21    0.000000e+00    0.000000e+00    7.681766e-01    5.974712e-04    7.646060e-13    5.549297e-08    1.884668e-01    7.703078e-10    1.696915e-06    3.010490e-05    3.567027e-07    4.259619e-02    2.654140e-07    4.545526e-14    1.568829e-15    1.528602e-15    5.635150e-14    1.903829e-15    1.745349e-15    1.284242e-16    4.317938e-10    1.986627e-09    7.492058e-06    4.675830e-06    8.130505e-09    3.348958e-10    1.175932e-08    1.303306e-07    6.930364e-24    6.037861e-21    1.559186e-18    1.837535e-21    0.000000e+00    0.000000e+00    7.682947e-01    
1.641683e-05        1.556125e-03        1.200000e+03        5.066250e+05        1.200000e+03        5.066250e+05        9.478818e+01        1.422263e+00        2.800972e+01        5.567786e-04    1.227575e-12    7.570000e-07    1.649762e-01    1.973937e-08    2.840179e-06    4.770715e-05    3.333865e-07    6.622931e-02    2.690486e-07    7.575730e-14    2.861577e-15    2.922681e-15    5.016299e-14    1.926253e-15    1.111317e-15    9.086318e-17    4.013518e-10    1.794186e-09    5.229691e-06    3.059947e-06    5.321540e-09    1.686358e-10    5.767742e-09    8.305374e-08    6.928918e-24    6.353059e-21    1.411854e-18    1.805149e-21    0.000000e+00    0.000000e+00    7.681774e-01    5.964606e-04    7.464132e-13    5.448508e-08    1.884669e-01    7.103707e-10    1.622295e-06    2.896692e-05    3.928548e-07    4.259667e-02    3.267229e-07    4.333706e-14    1.533988e-15    1.461564e-15    5.197589e-14    2.271501e-15    1.270508e-15    1.038789e-16    4.444001e-10    1.986627e-09    8.589585e-06    5.135976e-06    8.931954e-09    3.733024e-10    1.297538e-08    1.305062e-07    7.927393e-24    7.039921e-21    1.513688e-18    1.935350e-21    0.000000e+00    0.000000e+00    7.682947e-01    
2.283662e-05        2.164645e-03        1.200000e+03        5.066250e+05        1.200000e+03        5.066250e+05        9.478807e+01        1.422265e+00        2.800976e+01        5.557799e-04    1.191489e-12    7.395176e-07    1.649764e-01    1.750338e-08    2.622701e-06    4.568043e-05    3.469668e-07    6.623031e-02    3.167197e-07    7.101763e-14    2.560148e-15    2.695947e-15    4.448887e-14    2.229144e-15    1.034408e-15    8.935124e-17    3.869771e-10    1.794188e-09    6.111223e-06    3.176842e-06    5.525261e-09    1.839929e-10    6.470587e-09    8.319000e-08    7.661177e-24    6.710250e-21    1.361467e-18    1.844456e-21    0.000000e+00    0.000000e+00    7.681784e-01    5.953901e-04    7.244705e-13    5.322672e-08    1.884670e-01    6.299023e-10    1.498071e-06    2.773630e-05    4.088571e-07    4.259726e-02    3.846125e-07    4.062568e-14    1.372401e-15    1.348178e-15    4.609665e-14    2.628678e-15    1.182581e-15    1.021503e-16    4.284831e-10    1.986627e-09    1.003746e-05    5.332172e-06    9.273878e-09    4.072972e-10    1.455652e-08    1.307202e-07    8.765162e-24    7.435721e-21    1.459665e-18    1.977490e-21    0.000000e+00    0.000000e+00    7.682947e-01    
