
-----------------------------------------------------------------------------
Status                        Initial             Final
-----------------------------------------------------------------------------
Time[s]                       0                   0.00180405
Length[m]                     0                   0.171
T[K]                          1200.000            1200.000
P[atm]                        5.00000             5.00000
V[m3]                         94.78869            94.78621
rho[kg/m3]                    1.42229             1.42229
MW[kg/kmol]                   28.00957            28.01031
Phi[-]                        0.16697             0.16697
H[J/kg]                       4.583444e+05        4.579610e+05
U[J/kg]                       1.021321e+05        1.017580e+05
E[J/kg]                       4.628368e+05        4.624532e+05
Conv.(%) NO                   0.000e+00           4.031e+00
Conv.(%) NH3                  0.000e+00           8.396e+01
Conv.(%) H2                   0.000e+00           8.614e+01
Conv.(%) O2                   0.000e+00           -1.794e-03
Conv.(%) H                    0.000e+00           9.981e+01
Conv.(%) O                    0.000e+00           9.783e+01
Conv.(%) OH                   0.000e+00           9.359e+01
Conv.(%) HO2                  0.000e+00           7.526e+01
Conv.(%) H2O                  0.000e+00           -4.341e-02
Conv.(%) H2O2                 0.000e+00           6.805e+01
Conv.(%) NH2                  0.000e+00           9.850e+01
Conv.(%) NH                   0.000e+00           9.999e+01
Conv.(%) N                    0.000e+00           9.999e+01
Conv.(%) NNH                  0.000e+00           9.991e+01
Conv.(%) NH2OH                0.000e+00           8.423e+01
Conv.(%) H2NO                 0.000e+00           9.858e+01
Conv.(%) HNOH                 0.000e+00           9.944e+01
Conv.(%) HNO                  0.000e+00           9.576e+01
Conv.(%) HON                  0.000e+00           1.516e-07
Conv.(%) NO2                  0.000e+00           -6.391e+02
Conv.(%) HONO                 0.000e+00           -2.840e+02
Conv.(%) HNO2                 0.000e+00           -7.107e+01
Conv.(%) NO3                  0.000e+00           -3.983e+02
Conv.(%) HONO2                0.000e+00           -2.556e+03
Conv.(%) N2O                  0.000e+00           -3.858e+00
Conv.(%) N2H4                 0.000e+00           9.962e+01
Conv.(%) N2H3                 0.000e+00           9.773e+01
Conv.(%) N2H2                 0.000e+00           9.093e+01
Conv.(%) H2NN                 0.000e+00           9.942e+01
Conv.(%) N2                   0.000e+00           4.154e-07
Total species (kmol/m2/s)     4.813132e+00        4.813006e+00
Element(kmol/m2/s) H          6.377934e-01        6.377934e-01
Element(kmol/m2/s) O          1.909873e+00        1.909873e+00
Element(kmol/m2/s) N          7.397359e+00        7.397359e+00
-----------------------------------------------------------------------------

-----------------------------------------------------------------------------
Mass fractions                Initial             Final
-----------------------------------------------------------------------------
NO                            6.015031e-04        5.772547e-04
NH3                           8.152364e-13        1.308023e-13
H2                            5.839268e-08        8.094341e-09
O2                            1.884667e-01        1.884701e-01
H                             5.607113e-10        1.040207e-12
O                             4.878800e-07        1.060591e-08
OH                            3.646064e-05        2.336226e-06
HO2                           1.910939e-07        4.727615e-08
H2O                           4.259384e-02        4.261233e-02
H2O2                          2.337131e-08        7.466215e-09
NH2                           4.420146e-14        6.631645e-16
NH                            7.658263e-15        8.708735e-19
N                             6.443826e-14        9.332862e-18
NNH                           8.806241e-14        8.230515e-17
NH2OH                         6.327689e-16        9.975969e-17
H2NO                          1.803413e-14        2.567986e-16
HNOH                          2.089861e-15        1.179022e-17
HNO                           4.311032e-10        1.826373e-11
HON                           1.986627e-09        1.986627e-09
NO2                           5.748791e-06        4.248762e-05
HONO                          1.565881e-07        6.013146e-07
HNO2                          6.113876e-10        1.045902e-09
NO3                           7.642172e-12        3.808274e-11
HONO2                         1.980662e-10        5.261331e-09
N2O                           1.299758e-07        1.349898e-07
N2H4                          2.983200e-24        1.145060e-26
N2H3                          7.117604e-22        1.617444e-23
N2H2                          1.667001e-18        1.511805e-19
H2NN                          1.492635e-20        8.626728e-23
AR                            0.000000e+00        0.000000e+00
HE                            0.000000e+00        0.000000e+00
N2                            7.682947e-01        7.682947e-01
--------------------------------------------------------------

-----------------------------------------------------------------------------
Mole fractions                Initial             Final
-----------------------------------------------------------------------------
NO                            5.614826e-04        5.388616e-04
NH3                           1.340757e-12        2.151261e-13
H2                            8.112867e-07        1.124628e-07
O2                            1.649751e-01        1.649823e-01
H                             1.558064e-08        2.890527e-11
O                             8.541354e-07        1.856834e-08
OH                            6.004863e-05        3.847734e-06
HO2                           1.621663e-07        4.012057e-08
H2O                           6.622456e-02        6.625504e-02
H2O2                          1.924562e-08        6.148380e-09
NH2                           7.726793e-14        1.159299e-15
NH                            1.428603e-14        1.624604e-18
N                             1.288562e-13        1.866326e-17
NNH                           8.499037e-14        7.943604e-17
NH2OH                         5.365906e-16        8.459884e-17
H2NO                          1.577442e-14        2.246270e-16
HNOH                          1.827997e-15        1.031315e-17
HNO                           3.893409e-10        1.649489e-11
HON                           1.794176e-09        1.794223e-09
NO2                           3.500080e-06        2.586874e-05
HONO                          9.329263e-08        3.582627e-07
HNO2                          3.642547e-10        6.231474e-10
NO3                           3.452261e-12        1.720388e-11
HONO2                         8.804277e-11        2.338785e-09
N2O                           8.271570e-08        8.590886e-08
N2H4                          2.607445e-24        1.000857e-26
N2H3                          6.423128e-22        1.459666e-23
N2H2                          1.554844e-18        1.410127e-19
H2NN                          1.392210e-20        8.046530e-23
AR                            0.000000e+00        0.000000e+00
HE                            0.000000e+00        0.000000e+00
N2                            7.681733e-01        7.681934e-01
-----------------------------------------------------------------------------
