
-----------------------------------------------------------------------------
Status                        Initial             Final
-----------------------------------------------------------------------------
Time[s]                       0                   0.00741295
Length[m]                     0                   0.11811
T[K]                          2106.483            2114.740
P[atm]                        5.00000             5.00000
V[m3]                         15.88644            15.93926
rho[kg/m3]                    0.71084             0.71084
MW[kg/kmol]                   24.65591            24.67053
Phi[-]                        1.02943             1.02943
H[J/kg]                       -3.010089e+05       -3.010097e+05
U[J/kg]                       -1.011357e+06       -1.013719e+06
E[J/kg]                       -3.008827e+05       -3.008827e+05
Conv.(%) NO                   0.000e+00           1.033e+01
Conv.(%) NH3                  0.000e+00           9.911e+01
Conv.(%) H2                   0.000e+00           6.394e+00
Conv.(%) O2                   0.000e+00           7.706e+01
Conv.(%) H                    0.000e+00           4.565e+01
Conv.(%) O                    0.000e+00           6.610e+01
Conv.(%) OH                   0.000e+00           4.103e+01
Conv.(%) HO2                  0.000e+00           7.985e+01
Conv.(%) H2O                  0.000e+00           -3.553e-01
Conv.(%) H2O2                 0.000e+00           6.673e+01
Conv.(%) NH2                  0.000e+00           9.940e+01
Conv.(%) NH                   0.000e+00           9.878e+01
Conv.(%) N                    0.000e+00           9.505e+01
Conv.(%) NNH                  0.000e+00           4.663e+01
Conv.(%) NH2OH                0.000e+00           9.924e+01
Conv.(%) H2NO                 0.000e+00           8.530e+01
Conv.(%) HNOH                 0.000e+00           8.572e+01
Conv.(%) HNO                  0.000e+00           4.831e+01
Conv.(%) HON                  0.000e+00           5.799e-02
Conv.(%) NO2                  0.000e+00           3.183e+01
Conv.(%) HONO                 0.000e+00           4.890e+01
Conv.(%) HNO2                 0.000e+00           4.854e+01
Conv.(%) NO3                  0.000e+00           7.771e+01
Conv.(%) HONO2                0.000e+00           6.149e+01
Conv.(%) N2O                  0.000e+00           9.845e+01
Conv.(%) N2H4                 0.000e+00           1.000e+02
Conv.(%) N2H3                 0.000e+00           9.999e+01
Conv.(%) N2H2                 0.000e+00           9.999e+01
Conv.(%) H2NN                 0.000e+00           9.998e+01
Conv.(%) N2                   0.000e+00           -1.833e-02
Total species (kmol/m2/s)     4.595377e-01        4.592654e-01
Element(kmol/m2/s) H          2.902152e-01        2.902152e-01
Element(kmol/m2/s) O          1.409592e-01        1.409592e-01
Element(kmol/m2/s) N          6.270135e-01        6.270135e-01
-----------------------------------------------------------------------------

-----------------------------------------------------------------------------
Mass fractions                Initial             Final
-----------------------------------------------------------------------------
NO                            2.625083e-03        2.354004e-03
NH3                           1.145193e-05        1.014681e-07
H2                            9.880399e-04        9.248682e-04
O2                            3.541608e-04        8.122867e-05
H                             1.225986e-05        6.663462e-06
O                             1.047683e-05        3.551558e-06
OH                            7.023135e-04        4.141328e-04
HO2                           1.764353e-07        3.554319e-08
H2O                           2.213881e-01        2.221747e-01
H2O2                          6.036410e-08        2.008360e-08
NH2                           1.074696e-06        6.475828e-09
NH                            1.734318e-07        2.109510e-09
N                             6.237265e-08        3.086767e-09
NNH                           2.739211e-09        1.461919e-09
NH2OH                         1.108712e-09        8.419453e-12
H2NO                          1.421813e-09        2.089643e-10
HNOH                          3.411617e-10        4.870340e-11
HNO                           3.080791e-07        1.592436e-07
HON                           1.397883e-08        1.397072e-08
NO2                           2.951658e-07        2.012131e-07
HONO                          1.063833e-07        5.436267e-08
HNO2                          7.400444e-10        3.808392e-10
NO3                           6.432520e-14        1.433888e-14
HONO2                         1.769140e-12        6.813003e-13
N2O                           7.551037e-06        1.170900e-07
N2H4                          3.824718e-12        9.248731e-17
N2H3                          5.172830e-11        3.072786e-15
N2H2                          4.093980e-09        3.902653e-13
H2NN                          2.868524e-11        5.973952e-15
AR                            0.000000e+00        0.000000e+00
HE                            0.000000e+00        0.000000e+00
N2                            7.738983e-01        7.740402e-01
--------------------------------------------------------------

-----------------------------------------------------------------------------
Mole fractions                Initial             Final
-----------------------------------------------------------------------------
NO                            2.157029e-03        1.935430e-03
NH3                           1.657905e-05        1.469832e-07
H2                            1.208384e-02        1.131795e-02
O2                            2.728969e-04        6.262749e-05
H                             2.998789e-04        1.630864e-04
O                             1.614575e-05        5.476518e-06
OH                            1.018179e-03        6.007453e-04
HO2                           1.317994e-07        2.656697e-08
H2O                           3.029989e-01        3.042557e-01
H2O2                          4.375645e-08        1.456674e-08
NH2                           1.653723e-06        9.970797e-09
NH                            2.847898e-07        3.466049e-09
N                             1.097918e-07        5.436722e-09
NNH                           2.327123e-09        1.242723e-09
NH2OH                         8.276202e-10        6.288597e-12
H2NO                          1.094750e-09        1.609912e-10
HNOH                          2.626836e-10        3.752228e-11
HNO                           2.449207e-07        1.266726e-07
HON                           1.111307e-08        1.111321e-08
NO2                           1.581911e-07        1.079020e-07
HONO                          5.579257e-08        2.852734e-08
HNO2                          3.881154e-10        1.998491e-10
NO3                           2.557894e-14        5.705241e-15
HONO2                         6.922450e-13        2.667435e-13
N2O                           4.230061e-06        6.563222e-08
N2H4                          2.942704e-12        7.120111e-17
N2H3                          4.109183e-11        2.442401e-15
N2H2                          3.361332e-09        3.206144e-13
H2NN                          2.355181e-11        4.907777e-15
AR                            0.000000e+00        0.000000e+00
HE                            0.000000e+00        0.000000e+00
N2                            6.811297e-01        6.816585e-01
-----------------------------------------------------------------------------
