t[s](1)             csi[m](2)           T0[K](3)            P0[Pa](4)           T[K](5)             P[Pa](6)            v[m/s](7)           rho[kg/m3](8)       MW[kg/kmol](9)      NO_x(10)        NH3_x(11)       H2_x(12)        O2_x(13)        H_x(14)         O_x(15)         OH_x(16)        HO2_x(17)       H2O_x(18)       H2O2_x(19)      NH2_x(20)       NH_x(21)        N_x(22)         NNH_x(23)       NH2OH_x(24)     H2NO_x(25)      HNOH_x(26)      HNO_x(27)       HON_x(28)       NO2_x(29)       HONO_x(30)      HNO2_x(31)      NO3_x(32)       HONO2_x(33)     N2O_x(34)       N2H4_x(35)      N2H3_x(36)      N2H2_x(37)      H2NN_x(38)      AR_x(39)        HE_x(40)        N2_x(41)        NO_w(42)        NH3_w(43)       H2_w(44)        O2_w(45)        H_w(46)         O_w(47)         OH_w(48)        HO2_w(49)       H2O_w(50)       H2O2_w(51)      NH2_w(52)       NH_w(53)        N_w(54)         NNH_w(55)       NH2OH_w(56)     H2NO_w(57)      HNOH_w(58)      HNO_w(59)       HON_w(60)       NO2_w(61)       HONO_w(62)      HNO2_w(63)      NO3_w(64)       HONO2_w(65)     N2O_w(66)       N2H4_w(67)      N2H3_w(68)      N2H2_w(69)      H2NN_w(70)      AR_w(71)        HE_w(72)        N2_w(73)        
0.000000e+00        0.000000e+00        2.106483e+03        5.066250e+05        2.106483e+03        5.066250e+05        1.588644e+01        7.132070e-01        2.465591e+01        2.157029e-03    1.657905e-05    1.208384e-02    2.728969e-04    2.998789e-04    1.614575e-05    1.018179e-03    1.317994e-07    3.029989e-01    4.375645e-08    1.653723e-06    2.847898e-07    1.097918e-07    2.327123e-09    8.276202e-10    1.094750e-09    2.626836e-10    2.449207e-07    1.111307e-08    1.581911e-07    5.579257e-08    3.881154e-10    2.557894e-14    6.922450e-13    4.230061e-06    2.942704e-12    4.109183e-11    3.361332e-09    2.355181e-11    0.000000e+00    0.000000e+00    6.811297e-01    2.625083e-03    1.145193e-05    9.880399e-04    3.541608e-04    1.225986e-05    1.047683e-05    7.023135e-04    1.764353e-07    2.213881e-01    6.036410e-08    1.074696e-06    1.734318e-07    6.237265e-08    2.739211e-09    1.108712e-09    1.421813e-09    3.411617e-10    3.080791e-07    1.397883e-08    2.951658e-07    1.063833e-07    7.400444e-10    6.432520e-14    1.769140e-12    7.551037e-06    3.824718e-12    5.172830e-11    4.093980e-09    2.868524e-11    0.000000e+00    0.000000e+00    7.738983e-01    
1.505476e-07        2.391668e-06        2.106483e+03        5.066250e+05        2.106489e+03        5.066250e+05        1.588648e+01        7.132051e-01        2.465592e+01        2.156967e-03    1.645051e-05    1.208322e-02    2.725482e-04    2.998151e-04    1.613932e-05    1.018007e-03    1.316451e-07    3.029999e-01    4.374235e-08    1.635105e-06    2.803862e-07    1.077839e-07    2.325790e-09    8.204679e-10    1.078586e-09    2.587168e-10    2.443896e-07    1.111308e-08    1.581674e-07    5.578195e-08    3.880438e-10    2.556468e-14    6.920039e-13    4.210573e-06    2.460352e-12    3.861995e-11    3.082467e-09    2.160363e-11    0.000000e+00    0.000000e+00    6.811300e-01    2.625007e-03    1.136314e-05    9.879886e-04    3.537080e-04    1.225725e-05    1.047266e-05    7.021942e-04    1.762287e-07    2.213888e-01    6.034463e-08    1.062596e-06    1.707500e-07    6.123190e-08    2.737642e-09    1.099130e-09    1.400819e-09    3.360098e-10    3.074109e-07    1.397883e-08    2.951215e-07    1.063630e-07    7.399076e-10    6.428932e-14    1.768523e-12    7.516246e-06    3.197790e-12    4.861657e-11    3.754331e-09    2.631243e-11    0.000000e+00    0.000000e+00    7.738984e-01    
7.208402e-07        1.145166e-05        2.106483e+03        5.066250e+05        2.106514e+03        5.066250e+05        1.588665e+01        7.131977e-01        2.465595e+01        2.156739e-03    1.596165e-05    1.208088e-02    2.712376e-04    2.995498e-04    1.611613e-05    1.017351e-03    1.310376e-07    3.030040e-01    4.367789e-08    1.579269e-06    2.688683e-07    1.023064e-07    2.321297e-09    7.917873e-10    1.036882e-09    2.487121e-10    2.428162e-07    1.111310e-08    1.580730e-07    5.573207e-08    3.877050e-10    2.550901e-14    6.910539e-13    4.133304e-06    1.883057e-12    2.883889e-11    2.261750e-09    1.596776e-11    0.000000e+00    0.000000e+00    6.811315e-01    2.624726e-03    1.102544e-05    9.877960e-04    3.520067e-04    1.224638e-05    1.045759e-05    7.017411e-04    1.754152e-07    2.213914e-01    6.025562e-08    1.026309e-06    1.637356e-07    5.812007e-08    2.732350e-09    1.060707e-09    1.346654e-09    3.230157e-10    3.054313e-07    1.397884e-08    2.949450e-07    1.062677e-07    7.392606e-10    6.414924e-14    1.766092e-12    7.378304e-06    2.447460e-12    3.630367e-11    2.754725e-09    1.944812e-11    0.000000e+00    0.000000e+00    7.738990e-01    
2.068695e-06        3.286483e-05        2.106483e+03        5.066250e+05        2.106571e+03        5.066250e+05        1.588703e+01        7.131806e-01        2.465603e+01        2.156230e-03    1.485549e-05    1.207538e-02    2.682020e-04    2.989138e-04    1.606041e-05    1.015760e-03    1.295952e-07    3.030134e-01    4.352432e-08    1.467204e-06    2.496782e-07    9.481369e-08    2.311991e-09    7.332512e-10    9.704367e-10    2.326766e-10    2.401962e-07    1.111315e-08    1.578362e-07    5.561544e-08    3.869127e-10    2.537484e-14    6.887294e-13    3.944250e-06    1.593881e-12    1.517436e-11    1.219114e-09    8.424307e-12    0.000000e+00    0.000000e+00    6.811348e-01    2.624097e-03    1.026134e-05    9.873434e-04    3.480661e-04    1.222034e-05    1.042140e-05    7.006407e-04    1.734837e-07    2.213976e-01    6.004356e-08    9.534787e-07    1.520487e-07    5.386330e-08    2.721387e-09    9.822864e-10    1.260354e-09    3.021886e-10    3.021347e-07    1.397886e-08    2.945021e-07    1.060450e-07    7.377474e-10    6.381161e-14    1.760146e-12    7.040803e-06    2.071603e-12    1.910209e-11    1.484829e-09    1.026045e-11    0.000000e+00    0.000000e+00    7.739002e-01    
4.992935e-06        7.932350e-05        2.106483e+03        5.066250e+05        2.106693e+03        5.066250e+05        1.588783e+01        7.131444e-01        2.465621e+01        2.155233e-03    1.271907e-05    1.206364e-02    2.618912e-04    2.975087e-04    1.593692e-05    1.012191e-03    1.265798e-07    3.030334e-01    4.318371e-08    1.252623e-06    2.137723e-07    8.195882e-08    2.293648e-09    6.243410e-10    8.485757e-10    2.032718e-10    2.352582e-07    1.111326e-08    1.573167e-07    5.536059e-08    3.851799e-10    2.508039e-14    6.836102e-13    3.532142e-06    1.150706e-12    6.162006e-12    5.195211e-10    3.406866e-12    0.000000e+00    0.000000e+00    6.811418e-01    2.622865e-03    8.785557e-06    9.863762e-04    3.398736e-04    1.216281e-05    1.034120e-05    6.981742e-04    1.694458e-07    2.214106e-01    5.957325e-08    8.140251e-07    1.301819e-07    4.656016e-08    2.699776e-09    8.363808e-10    1.102079e-09    2.639971e-10    2.959213e-07    1.397890e-08    2.935307e-07    1.055583e-07    7.344381e-10    6.307070e-14    1.747050e-12    6.305111e-06    1.495588e-12    7.756924e-12    6.327500e-10    4.149388e-12    0.000000e+00    0.000000e+00    7.739026e-01    
1.235595e-05        1.963130e-04        2.106483e+03        5.066250e+05        2.106983e+03        5.066250e+05        1.588973e+01        7.130593e-01        2.465666e+01        2.153252e-03    8.659788e-06    1.203534e-02    2.475301e-04    2.938163e-04    1.560937e-05    1.002503e-03    1.196436e-07    3.030806e-01    4.228109e-08    8.465025e-07    1.455730e-07    5.770738e-08    2.251848e-09    4.192431e-10    6.197502e-10    1.480465e-10    2.254340e-07    1.111352e-08    1.560545e-07    5.470314e-08    3.806999e-10    2.433057e-14    6.706071e-13    2.586051e-06    5.240211e-13    2.364288e-12    2.054345e-10    1.317759e-12    0.000000e+00    0.000000e+00    6.811584e-01    2.620407e-03    5.981542e-06    9.840444e-04    3.212304e-04    1.201164e-05    1.012847e-05    6.914792e-04    1.601578e-07    2.214411e-01    5.832700e-08    5.500952e-07    8.864859e-08    3.278251e-08    2.650526e-09    5.616170e-10    8.048796e-10    1.922704e-10    2.835587e-07    1.397897e-08    2.911704e-07    1.043028e-07    7.258827e-10    6.118399e-14    1.713788e-12    4.616192e-06    6.810647e-13    2.976184e-12    2.502041e-10    1.604934e-12    0.000000e+00    0.000000e+00    7.739074e-01    
2.096927e-05        3.331852e-04        2.106483e+03        5.066250e+05        2.107297e+03        5.066250e+05        1.589176e+01        7.129682e-01        2.465718e+01        2.151607e-03    5.594695e-06    1.200465e-02    2.330616e-04    2.892550e-04    1.520040e-05    9.900285e-04    1.125344e-07    3.031314e-01    4.115500e-08    5.416491e-07    9.417238e-08    3.949872e-08    2.207154e-09    2.663832e-10    4.492984e-10    1.069025e-10    2.172157e-07    1.111379e-08    1.546344e-07    5.390243e-08    3.752280e-10    2.343981e-14    6.551501e-13    1.746076e-06    2.141208e-13    9.758170e-13    8.600397e-11    5.554662e-13    0.000000e+00    0.000000e+00    6.811762e-01    2.618350e-03    3.864321e-06    9.815145e-04    3.024476e-04    1.182492e-05    9.862898e-06    6.828605e-04    1.506381e-07    2.214735e-01    5.677236e-08    3.519804e-07    5.734631e-08    2.243803e-08    2.597866e-09    3.568388e-10    5.834988e-10    1.388331e-10    2.732157e-07    1.397902e-08    2.885146e-07    1.027739e-07    7.154344e-10    5.894276e-14    1.674251e-12    3.116741e-06    2.782846e-13    1.228340e-12    1.047443e-10    6.765028e-13    0.000000e+00    0.000000e+00    7.739113e-01    
3.163364e-05        5.026732e-04        2.106483e+03        5.066250e+05        2.107654e+03        5.066250e+05        1.589406e+01        7.128653e-01        2.465780e+01        2.150185e-03    3.326780e-06    1.197010e-02    2.178699e-04    2.833842e-04    1.467091e-05    9.733795e-04    1.049241e-07    3.031889e-01    3.969825e-08    3.180634e-07    5.650681e-08    2.621745e-08    2.155522e-09    1.553449e-10    3.254551e-10    7.700915e-11    2.100038e-07    1.111410e-08    1.529259e-07    5.287662e-08    3.681996e-10    2.233373e-14    6.358139e-13    1.070159e-06    7.365502e-14    3.509828e-13    3.132774e-11    2.090322e-13    0.000000e+00    0.000000e+00    6.811962e-01    2.616553e-03    2.297788e-06    9.786650e-04    2.827260e-04    1.158462e-05    9.519090e-06    6.713600e-04    1.404474e-07    2.215099e-01    5.476141e-08    2.066822e-07    3.440897e-08    1.489296e-08    2.537028e-09    2.080899e-10    4.226541e-10    1.000084e-10    2.641378e-07    1.397905e-08    2.853196e-07    1.008155e-07    7.020158e-10    5.615994e-14    1.624796e-12    1.910183e-06    9.572420e-14    4.417995e-13    3.815311e-11    2.545741e-13    0.000000e+00    0.000000e+00    7.739144e-01    
4.366127e-05        6.938555e-04        2.106483e+03        5.066250e+05        2.108024e+03        5.066250e+05        1.589641e+01        7.127596e-01        2.465848e+01        2.149050e-03    1.911017e-06    1.193519e-02    2.034706e-04    2.766780e-04    1.406643e-05    9.537915e-04    9.757282e-08    3.032479e-01    3.803698e-08    1.802009e-07    3.339898e-08    1.810053e-08    2.100621e-09    8.773965e-11    2.500597e-10    5.881410e-11    2.040900e-07    1.111441e-08    1.510527e-07    5.170330e-08    3.601433e-10    2.111377e-14    6.141860e-13    6.340384e-07    2.378400e-14    1.209040e-13    1.094303e-11    7.934531e-14    0.000000e+00    0.000000e+00    6.812166e-01    2.615100e-03    1.319892e-06    9.757836e-04    2.640330e-04    1.131016e-05    9.126631e-06    6.578318e-04    1.306037e-07    2.215469e-01    5.246835e-08    1.170940e-07    2.033725e-08    1.028182e-08    2.472343e-09    1.175271e-10    3.247326e-10    7.637719e-11    2.566925e-07    1.397906e-08    2.818170e-07    9.857572e-08    6.866367e-10    5.309081e-14    1.569484e-12    1.131697e-06    3.090954e-14    1.521837e-13    1.332682e-11    9.662964e-14    0.000000e+00    0.000000e+00    7.739164e-01    
5.708192e-05        9.072120e-04        2.106483e+03        5.066250e+05        2.108403e+03        5.066250e+05        1.589881e+01        7.126521e-01        2.465918e+01        2.148102e-03    1.079361e-06    1.190051e-02    1.899350e-04    2.693168e-04    1.340755e-05    9.317955e-04    9.055580e-08    3.033076e-01    3.622849e-08    1.004252e-07    2.011890e-08    1.342841e-08    2.042814e-09    4.920636e-11    2.072465e-10    4.848628e-11    1.989810e-07    1.111473e-08    1.490341e-07    5.040986e-08    3.512472e-10    1.982108e-14    5.908237e-13    3.779166e-07    7.393290e-15    4.307910e-14    3.947683e-12    3.404833e-14    0.000000e+00    0.000000e+00    6.812372e-01    2.613872e-03    7.454664e-07    9.729204e-04    2.464615e-04    1.100894e-05    8.698886e-06    6.426428e-04    1.212078e-07    2.215842e-01    4.997229e-08    6.525411e-08    1.225042e-08    7.627654e-09    2.404238e-09    6.590998e-11    2.691268e-10    6.296348e-11    2.502596e-07    1.397906e-08    2.780431e-07    9.610696e-08    6.696567e-10    4.983888e-14    1.509741e-12    6.745254e-07    9.607998e-15    5.422278e-14    4.807497e-12    4.146413e-14    0.000000e+00    0.000000e+00    7.739178e-01    
7.343581e-05        1.167241e-03        2.106483e+03        5.066250e+05        2.108820e+03        5.066250e+05        1.590145e+01        7.125337e-01        2.465997e+01        2.147181e-03    5.838709e-07    1.186327e-02    1.760773e-04    2.607487e-04    1.265064e-05    9.057148e-04    8.329603e-08    3.033730e-01    3.415394e-08    5.370835e-08    1.238005e-08    1.065945e-08    1.977082e-09    2.703708e-11    1.830128e-10    4.264356e-11    1.938857e-07    1.111508e-08    1.466910e-07    4.889585e-08    3.408193e-10    1.837350e-14    5.640139e-13    2.281238e-07    2.165094e-15    1.630333e-14    1.510016e-12    1.750160e-14    0.000000e+00    0.000000e+00    6.812599e-01    2.612668e-03    4.032408e-07    9.698449e-04    2.284723e-04    1.065836e-05    8.207538e-06    6.246355e-04    1.114871e-07    2.216250e-01    4.710923e-08    3.489740e-08    7.537984e-09    6.054627e-09    2.326802e-09    3.621395e-11    2.376497e-10    5.537445e-11    2.438435e-07    1.397905e-08    2.736629e-07    9.321749e-08    6.497551e-10    4.619757e-14    1.441188e-12    4.071543e-07    2.813572e-15    2.052001e-14    1.838842e-12    2.131281e-14    0.000000e+00    0.000000e+00    7.739189e-01    
9.319931e-05        1.481538e-03        2.106483e+03        5.066250e+05        2.109270e+03        5.066250e+05        1.590429e+01        7.124065e-01        2.466082e+01        2.146236e-03    3.222495e-07    1.182421e-02    1.621306e-04    2.511693e-04    1.182068e-05    8.760902e-04    7.595732e-08    3.034431e-01    3.188283e-08    2.946296e-08    8.337899e-09    9.128712e-09    1.904497e-09    1.575849e-11    1.713676e-10    3.983747e-11    1.886591e-07    1.111545e-08    1.440468e-07    4.719243e-08    3.290723e-10    1.682551e-14    5.344629e-13    1.508176e-07    5.968436e-16    7.503956e-15    6.993129e-13    1.146428e-14    0.000000e+00    0.000000e+00    6.812843e-01    2.611428e-03    2.225486e-07    9.666182e-04    2.103683e-04    1.026643e-05    7.668803e-06    6.041836e-04    1.016611e-07    2.216685e-01    4.397511e-08    1.914312e-08    5.076617e-09    5.184980e-09    2.241300e-09    2.110647e-11    2.225203e-10    5.172883e-11    2.372618e-07    1.397903e-08    2.687207e-07    8.996690e-08    6.273382e-10    4.230389e-14    1.365631e-12    2.691693e-07    7.755803e-16    9.444445e-15    8.515679e-13    1.396030e-14    0.000000e+00    0.000000e+00    7.739197e-01    
1.183777e-04        1.882023e-03        2.106483e+03        5.066250e+05        2.109768e+03        5.066250e+05        1.590744e+01        7.122656e-01        2.466177e+01        2.145156e-03    1.960455e-07    1.178189e-02    1.475452e-04    2.402822e-04    1.090164e-05    8.419460e-04    6.830518e-08    3.035203e-01    2.937237e-08    1.787043e-08    6.318814e-09    8.242342e-09    1.822479e-09    1.046957e-11    1.669315e-10    3.876841e-11    1.829305e-07    1.111586e-08    1.409829e-07    4.524360e-08    3.156173e-10    1.515519e-14    5.013894e-13    1.134992e-07    2.297283e-16    4.724102e-15    4.507815e-13    9.106302e-15    0.000000e+00    0.000000e+00    6.813112e-01    2.610014e-03    1.353857e-07    9.631222e-04    1.914361e-04    9.821047e-06    7.072292e-06    5.806142e-04    9.141600e-08    2.217163e-01    4.051095e-08    1.161060e-08    3.847128e-09    4.681354e-09    2.144695e-09    1.402210e-11    2.167517e-10    5.033872e-11    2.300486e-07    1.397901e-08    2.629948e-07    8.624836e-08    6.016647e-10    3.810279e-14    1.281074e-12    2.025580e-07    2.985136e-16    5.945505e-15    5.489049e-13    1.108851e-14    0.000000e+00    0.000000e+00    7.739205e-01    
1.521202e-04        2.418842e-03        2.106483e+03        5.066250e+05        2.110328e+03        5.066250e+05        1.591097e+01        7.121076e-01        2.466284e+01        2.143811e-03    1.453653e-07    1.173528e-02    1.319621e-04    2.278647e-04    9.888184e-06    8.024867e-04    6.022165e-08    3.036066e-01    2.660934e-08    1.304189e-08    5.332280e-09    7.653538e-09    1.729128e-09    8.281941e-12    1.665403e-10    3.867235e-11    1.764319e-07    1.111631e-08    1.373859e-07    4.300513e-08    3.001450e-10    1.336479e-14    4.643277e-13    9.665170e-08    1.232142e-16    3.721430e-15    3.683652e-13    7.921484e-15    0.000000e+00    0.000000e+00    6.813414e-01    2.608264e-03    1.003825e-07    9.592697e-04    1.712099e-04    9.313106e-06    6.414552e-06    5.533787e-04    8.059395e-08    2.217698e-01    3.669853e-08    8.473079e-09    3.246349e-09    4.346746e-09    2.034752e-09    1.109169e-11    2.162344e-10    5.021181e-11    2.218665e-07    1.397897e-08    2.562738e-07    8.197759e-08    5.721449e-10    3.359997e-14    1.186328e-12    1.724834e-07    1.601001e-16    4.683392e-15    4.485293e-13    9.645369e-15    0.000000e+00    0.000000e+00    7.739214e-01    
