
-----------------------------------------------------------------------------
Status                        Initial             Final
-----------------------------------------------------------------------------
Time[s]                       0                   0.00180404
Length[m]                     0                   0.171
T[K]                          1200.000            1200.000
P[atm]                        5.00000             5.00000
V[m3]                         94.78869            94.78673
rho[kg/m3]                    1.42229             1.42229
MW[kg/kmol]                   28.00966            28.01024
Phi[-]                        0.16697             0.16697
H[J/kg]                       4.577704e+05        4.574569e+05
U[J/kg]                       1.015591e+05        1.012530e+05
E[J/kg]                       4.622628e+05        4.619491e+05
Conv.(%) NO                   0.000e+00           4.181e+00
Conv.(%) NH3                  0.000e+00           8.289e+01
Conv.(%) H2                   0.000e+00           8.781e+01
Conv.(%) O2                   0.000e+00           -2.103e-03
Conv.(%) H                    0.000e+00           9.968e+01
Conv.(%) O                    0.000e+00           9.679e+01
Conv.(%) OH                   0.000e+00           9.097e+01
Conv.(%) HO2                  0.000e+00           7.064e+01
Conv.(%) H2O                  0.000e+00           -3.584e-02
Conv.(%) H2O2                 0.000e+00           6.990e+01
Conv.(%) NH2                  0.000e+00           9.772e+01
Conv.(%) NH                   0.000e+00           9.996e+01
Conv.(%) N                    0.000e+00           9.995e+01
Conv.(%) NNH                  0.000e+00           9.981e+01
Conv.(%) NH2OH                0.000e+00           8.465e+01
Conv.(%) H2NO                 0.000e+00           9.232e+01
Conv.(%) HNOH                 0.000e+00           9.642e+01
Conv.(%) HNO                  0.000e+00           9.251e+01
Conv.(%) HON                  0.000e+00           1.443e-07
Conv.(%) NO2                  0.000e+00           -3.658e+02
Conv.(%) HONO                 0.000e+00           -1.646e+02
Conv.(%) HNO2                 0.000e+00           -3.603e+01
Conv.(%) NO3                  0.000e+00           -1.271e+02
Conv.(%) HONO2                0.000e+00           -1.072e+03
Conv.(%) N2O                  0.000e+00           -2.484e+00
Conv.(%) N2H4                 0.000e+00           9.928e+01
Conv.(%) N2H3                 0.000e+00           9.661e+01
Conv.(%) N2H2                 0.000e+00           8.633e+01
Conv.(%) H2NN                 0.000e+00           9.902e+01
Conv.(%) N2                   0.000e+00           4.239e-07
Total species (kmol/m2/s)     4.813132e+00        4.813032e+00
Element(kmol/m2/s) H          6.377952e-01        6.377952e-01
Element(kmol/m2/s) O          1.909879e+00        1.909879e+00
Element(kmol/m2/s) N          7.397381e+00        7.397381e+00
-----------------------------------------------------------------------------

-----------------------------------------------------------------------------
Mass fractions                Initial             Final
-----------------------------------------------------------------------------
NO                            4.303402e-04        4.123479e-04
NH3                           1.246813e-12        2.133755e-13
H2                            4.533128e-08        5.527397e-09
O2                            1.885592e-01        1.885632e-01
H                             3.868710e-10        1.234628e-12
O                             4.738748e-07        1.520316e-08
OH                            3.095634e-05        2.795157e-06
HO2                           2.149608e-07        6.310861e-08
H2O                           4.259686e-02        4.261212e-02
H2O2                          3.514652e-08        1.058031e-08
NH2                           6.839441e-14        1.558928e-15
NH                            4.804090e-15        1.935073e-18
N                             1.820734e-14        9.977068e-18
NNH                           5.255113e-14        9.863675e-17
NH2OH                         1.444192e-15        2.216328e-16
H2NO                          5.318835e-15        4.087250e-16
HNOH                          5.281930e-16        1.892467e-17
HNO                           2.299208e-10        1.721000e-11
HON                           2.580144e-09        2.580144e-09
NO2                           7.455501e-06        3.472697e-05
HONO                          1.929777e-07        5.106319e-07
HNO2                          6.529378e-10        8.881759e-10
NO3                           1.858950e-11        4.221604e-11
HONO2                         4.389487e-10        5.145127e-09
N2O                           2.059696e-07        2.110856e-07
N2H4                          8.168652e-24        5.892555e-26
N2H3                          1.444704e-21        4.899707e-23
N2H2                          3.449453e-18        4.714907e-19
H2NN                          1.697137e-20        1.657696e-22
AR                            0.000000e+00        0.000000e+00
HE                            0.000000e+00        0.000000e+00
N2                            7.683740e-01        7.683740e-01
--------------------------------------------------------------

-----------------------------------------------------------------------------
Mole fractions                Initial             Final
-----------------------------------------------------------------------------
NO                            4.017090e-04        3.849218e-04
NH3                           2.050544e-12        3.509306e-13
H2                            6.298182e-07        7.679746e-08
O2                            1.650565e-01        1.650634e-01
H                             1.075012e-08        3.430776e-11
O                             8.296188e-07        2.661692e-08
OH                            5.098351e-05        4.603575e-06
HO2                           1.824207e-07        5.355654e-08
H2O                           6.622944e-02        6.625455e-02
H2O2                          2.894226e-08        8.712796e-09
NH2                           1.195596e-13        2.725204e-15
NH                            8.961766e-15        3.609846e-18
N                             3.640904e-14        1.995146e-17
NNH                           5.071805e-14        9.519808e-17
NH2OH                         1.224684e-15        1.879500e-16
H2NO                          4.652387e-15        3.575193e-16
HNOH                          4.620107e-16        1.655376e-17
HNO                           2.076482e-10        1.554318e-11
HON                           2.330204e-09        2.330252e-09
NO2                           4.539203e-06        2.114359e-05
HONO                          1.149733e-07        3.042333e-07
HNO2                          3.890108e-10        5.291732e-10
NO3                           8.397610e-12        1.907105e-11
HONO2                         1.951184e-10        2.287123e-09
N2O                           1.310780e-07        1.343366e-07
N2H4                          7.139772e-24        5.150467e-26
N2H3                          1.303746e-21        4.421739e-23
N2H2                          3.217383e-18        4.397791e-19
H2NN                          1.582958e-20        1.546202e-22
AR                            0.000000e+00        0.000000e+00
HE                            0.000000e+00        0.000000e+00
N2                            7.682549e-01        7.682708e-01
-----------------------------------------------------------------------------
