t[s](1)             csi[m](2)           T0[K](3)            P0[Pa](4)           T[K](5)             P[Pa](6)            v[m/s](7)           rho[kg/m3](8)       MW[kg/kmol](9)      NO_x(10)        NH3_x(11)       H2_x(12)        O2_x(13)        H_x(14)         O_x(15)         OH_x(16)        HO2_x(17)       H2O_x(18)       H2O2_x(19)      NH2_x(20)       NH_x(21)        N_x(22)         NNH_x(23)       NH2OH_x(24)     H2NO_x(25)      HNOH_x(26)      HNO_x(27)       HON_x(28)       NO2_x(29)       HONO_x(30)      HNO2_x(31)      NO3_x(32)       HONO2_x(33)     N2O_x(34)       N2H4_x(35)      N2H3_x(36)      N2H2_x(37)      H2NN_x(38)      AR_x(39)        HE_x(40)        N2_x(41)        NO_w(42)        NH3_w(43)       H2_w(44)        O2_w(45)        H_w(46)         O_w(47)         OH_w(48)        HO2_w(49)       H2O_w(50)       H2O2_w(51)      NH2_w(52)       NH_w(53)        N_w(54)         NNH_w(55)       NH2OH_w(56)     H2NO_w(57)      HNOH_w(58)      HNO_w(59)       HON_w(60)       NO2_w(61)       HONO_w(62)      HNO2_w(63)      NO3_w(64)       HONO2_w(65)     N2O_w(66)       N2H4_w(67)      N2H3_w(68)      N2H2_w(69)      H2NN_w(70)      AR_w(71)        HE_w(72)        N2_w(73)        
0.000000e+00        0.000000e+00        1.200000e+03        5.066250e+05        1.200000e+03        5.066250e+05        9.478869e+01        1.422260e+00        2.800966e+01        4.017090e-04    2.050544e-12    6.298182e-07    1.650565e-01    1.075012e-08    8.296188e-07    5.098351e-05    1.824207e-07    6.622944e-02    2.894226e-08    1.195596e-13    8.961766e-15    3.640904e-14    5.071805e-14    1.224684e-15    4.652387e-15    4.620107e-16    2.076482e-10    2.330204e-09    4.539203e-06    1.149733e-07    3.890108e-10    8.397610e-12    1.951184e-10    1.310780e-07    7.139772e-24    1.303746e-21    3.217383e-18    1.582958e-20    0.000000e+00    0.000000e+00    7.682549e-01    4.303402e-04    1.246813e-12    4.533128e-08    1.885592e-01    3.868710e-10    4.738748e-07    3.095634e-05    2.149608e-07    4.259686e-02    3.514652e-08    6.839441e-14    4.804090e-15    1.820734e-14    5.255113e-14    1.444192e-15    5.318835e-15    5.281930e-16    2.299208e-10    2.580144e-09    7.455501e-06    1.929777e-07    6.529378e-10    1.858950e-11    4.389487e-10    2.059696e-07    8.168652e-24    1.444704e-21    3.449453e-18    1.697137e-20    0.000000e+00    0.000000e+00    7.683740e-01    
2.070524e-08        1.962623e-06        1.200000e+03        5.066250e+05        1.200000e+03        5.066250e+05        9.478869e+01        1.422260e+00        2.800966e+01        4.017025e-04    2.050316e-12    6.297565e-07    1.650565e-01    1.050619e-08    8.399701e-07    5.095478e-05    1.825712e-07    6.622945e-02    2.933016e-08    1.196327e-13    8.728657e-15    3.273248e-14    1.795798e-14    1.227652e-15    4.635712e-15    4.575890e-16    2.072405e-10    2.330204e-09    4.539268e-06    1.215490e-07    1.879597e-10    9.059493e-12    3.247669e-10    1.310782e-07    7.156377e-24    1.319126e-21    3.217157e-18    1.552113e-20    0.000000e+00    0.000000e+00    7.682549e-01    4.303332e-04    1.246675e-12    4.532684e-08    1.885592e-01    3.780924e-10    4.797874e-07    3.093890e-05    2.151382e-07    4.259686e-02    3.561758e-08    6.843619e-14    4.679128e-15    1.636878e-14    1.860703e-14    1.447691e-15    5.299771e-15    5.231380e-16    2.294694e-10    2.580144e-09    7.455607e-06    2.040147e-07    3.154823e-10    2.005468e-11    7.306128e-10    2.059698e-07    8.187650e-24    1.461747e-21    3.449211e-18    1.664067e-20    0.000000e+00    0.000000e+00    7.683740e-01    
2.336493e-07        2.214731e-05        1.200000e+03        5.066250e+05        1.200000e+03        5.066250e+05        9.478868e+01        1.422260e+00        2.800966e+01        4.016358e-04    2.047994e-12    6.291068e-07    1.650565e-01    9.005085e-09    9.421935e-07    5.066676e-05    1.837092e-07    6.622956e-02    3.327626e-08    1.203549e-13    6.733834e-15    1.215624e-14    2.290485e-14    1.258098e-15    4.466560e-15    4.162642e-16    2.025737e-10    2.330204e-09    4.540480e-06    1.857015e-07    3.285995e-10    1.589014e-11    1.470301e-09    1.310796e-07    7.325868e-24    1.456887e-21    3.214817e-18    1.273262e-20    0.000000e+00    0.000000e+00    7.682549e-01    4.302618e-04    1.245263e-12    4.528007e-08    1.885592e-01    3.240713e-10    5.381770e-07    3.076401e-05    2.164791e-07    4.259693e-02    4.040959e-08    6.884933e-14    3.609773e-15    6.079060e-15    2.373269e-14    1.483594e-15    5.106388e-15    4.758934e-16    2.243019e-10    2.580144e-09    7.457598e-06    3.116920e-07    5.515400e-10    3.517545e-11    3.307667e-09    2.059721e-07    8.381565e-24    1.614402e-21    3.446702e-18    1.365103e-20    0.000000e+00    0.000000e+00    7.683740e-01    
1.056370e-06        1.001319e-04        1.200000e+03        5.066250e+05        1.200000e+03        5.066250e+05        9.478866e+01        1.422260e+00        2.800967e+01        4.013921e-04    2.039270e-12    6.265838e-07    1.650566e-01    9.305448e-09    1.280218e-06    4.966485e-05    1.867075e-07    6.622995e-02    4.788039e-08    1.227435e-13    3.039245e-15    2.895417e-15    2.365634e-14    1.374476e-15    3.860517e-15    3.056022e-16    1.855512e-10    2.330205e-09    4.552322e-06    4.149188e-07    7.178869e-10    4.179246e-11    3.891074e-09    1.310867e-07    8.024464e-24    1.906493e-21    3.205345e-18    6.315981e-21    0.000000e+00    0.000000e+00    7.682552e-01    4.300005e-04    1.239958e-12    4.509846e-08    1.885592e-01    3.348805e-10    7.312552e-07    3.015566e-05    2.200122e-07    4.259717e-02    5.814434e-08    7.021574e-14    1.629233e-15    1.447932e-15    2.451134e-14    1.620831e-15    4.413529e-15    3.493792e-16    2.054536e-10    2.580144e-09    7.477046e-06    6.964231e-07    1.204942e-09    9.251448e-11    8.753562e-09    2.059831e-07    9.180829e-24    2.112618e-21    3.436546e-18    6.771552e-21    0.000000e+00    0.000000e+00    7.683740e-01    
2.970429e-06        2.815629e-04        1.200000e+03        5.066250e+05        1.200000e+03        5.066250e+05        9.478861e+01        1.422261e+00        2.800968e+01        4.008977e-04    2.020230e-12    6.212944e-07    1.650567e-01    1.223074e-08    1.807719e-06    4.787675e-05    2.001881e-07    6.623063e-02    7.847787e-08    1.263498e-13    1.619139e-15    2.927741e-15    3.108605e-14    1.636293e-15    2.797540e-15    1.905539e-16    1.717034e-10    2.330206e-09    4.610554e-06    8.492126e-07    1.474256e-09    9.202931e-11    5.162353e-09    1.311098e-07    9.618604e-24    3.161961e-21    3.180744e-18    2.244760e-21    0.000000e+00    0.000000e+00    7.682556e-01    4.294707e-04    1.228380e-12    4.471774e-08    1.885592e-01    4.401544e-10    1.032561e-06    2.906994e-05    2.358973e-07    4.259758e-02    9.530084e-08    7.227867e-14    8.679629e-16    1.464096e-15    3.220955e-14    1.929574e-15    3.198281e-15    2.178502e-16    1.901203e-10    2.580144e-09    7.572686e-06    1.425365e-06    2.474474e-09    2.037219e-10    1.161349e-08    2.060193e-07    1.100469e-23    3.503822e-21    3.410169e-18    2.406672e-21    0.000000e+00    0.000000e+00    7.683740e-01    
5.868562e-06        5.562728e-04        1.200000e+03        5.066250e+05        1.200000e+03        5.066250e+05        9.478854e+01        1.422262e+00        2.800970e+01        4.002948e-04    1.993789e-12    6.143656e-07    1.650568e-01    1.454085e-08    2.186133e-06    4.608388e-05    2.291023e-07    6.623129e-02    1.179432e-07    1.284017e-13    1.970807e-15    1.744202e-15    3.695957e-14    2.006087e-15    1.916181e-15    1.342603e-16    1.829473e-10    2.330208e-09    4.751650e-06    1.310498e-06    2.277506e-09    1.390624e-10    5.146596e-09    1.311551e-07    1.193821e-23    5.239531e-21    3.139887e-18    2.070571e-21    0.000000e+00    0.000000e+00    7.682561e-01    4.288245e-04    1.212302e-12    4.421900e-08    1.885593e-01    5.232891e-10    1.248708e-06    2.798132e-05    2.699690e-07    4.259798e-02    1.432260e-07    7.345243e-14    1.056479e-15    8.722349e-16    3.829533e-14    2.365647e-15    2.190668e-15    1.534926e-16    2.025701e-10    2.580144e-09    7.804426e-06    2.199611e-06    3.822689e-09    3.078372e-10    1.157803e-08    2.060904e-07    1.365855e-23    5.806009e-21    3.366363e-18    2.219918e-21    0.000000e+00    0.000000e+00    7.683740e-01    
9.705253e-06        9.199470e-04        1.200000e+03        5.066250e+05        1.200000e+03        5.066250e+05        9.478847e+01        1.422263e+00        2.800972e+01        3.996737e-04    1.961574e-12    6.061695e-07    1.650570e-01    1.502064e-08    2.327908e-06    4.455218e-05    2.655693e-07    6.623187e-02    1.611064e-07    1.278492e-13    2.162147e-15    1.793591e-15    3.818443e-14    2.444088e-15    1.466613e-15    1.120897e-16    2.050160e-10    2.330209e-09    4.996864e-06    1.685884e-06    2.931170e-09    1.682317e-10    5.204885e-09    1.312226e-07    1.463568e-23    7.582700e-21    3.084354e-18    2.305438e-21    0.000000e+00    0.000000e+00    7.682567e-01    4.281588e-04    1.192713e-12    4.362906e-08    1.885593e-01    5.405554e-10    1.329688e-06    2.705128e-05    3.129406e-07    4.259832e-02    1.956419e-07    7.313631e-14    1.159049e-15    8.969325e-16    3.956442e-14    2.882151e-15    1.676699e-15    1.281461e-16    2.270056e-10    2.580144e-09    8.207176e-06    2.829677e-06    4.919831e-09    3.724078e-10    1.170916e-08    2.061963e-07    1.674472e-23    8.402505e-21    3.306822e-18    2.471724e-21    0.000000e+00    0.000000e+00    7.683740e-01    
1.463030e-05        1.386785e-03        1.200000e+03        5.066250e+05        1.200000e+03        5.066250e+05        9.478839e+01        1.422264e+00        2.800974e+01        3.990535e-04    1.923146e-12    5.963338e-07    1.650572e-01    1.440703e-08    2.299114e-06    4.317023e-05    2.989420e-07    6.623243e-02    2.055094e-07    1.248614e-13    2.196393e-15    1.771578e-15    3.663165e-14    2.923830e-15    1.350412e-15    1.107212e-16    2.201220e-10    2.330211e-09    5.362521e-06    1.940122e-06    3.373900e-09    1.835811e-10    5.399635e-09    1.313110e-07    1.744784e-23    9.581301e-21    3.015113e-18    2.501628e-21    0.000000e+00    0.000000e+00    7.682573e-01    4.274940e-04    1.169346e-12    4.292110e-08    1.885594e-01    5.184727e-10    1.313240e-06    2.621217e-05    3.522659e-07    4.259865e-02    2.495630e-07    7.142710e-14    1.177406e-15    8.859237e-16    3.795550e-14    3.447875e-15    1.543852e-15    1.265815e-16    2.437317e-10    2.580144e-09    8.807748e-06    3.256401e-06    5.662928e-09    4.063858e-10    1.214726e-08    2.063350e-07    1.996210e-23    1.061718e-20    3.232583e-18    2.682062e-21    0.000000e+00    0.000000e+00    7.683740e-01    
2.106091e-05        1.996332e-03        1.200000e+03        5.066250e+05        1.200000e+03        5.066250e+05        9.478832e+01        1.422266e+00        2.800977e+01        3.984086e-04    1.876346e-12    5.840247e-07    1.650574e-01    1.322384e-08    2.177969e-06    4.173188e-05    3.222671e-07    6.623309e-02    2.495929e-07    1.197583e-13    2.076886e-15    1.677032e-15    3.363070e-14    3.426271e-15    1.403181e-15    1.193014e-16    2.222261e-10    2.330213e-09    5.871821e-06    2.075442e-06    3.609597e-09    1.926498e-10    5.714584e-09    1.314222e-07    2.008158e-23    1.084107e-20    2.930471e-18    2.633139e-21    0.000000e+00    0.000000e+00    7.682579e-01    4.268029e-04    1.140889e-12    4.203512e-08    1.885595e-01    4.758922e-10    1.244042e-06    2.533881e-05    3.797514e-07    4.259904e-02    3.030961e-07    6.850779e-14    1.113342e-15    8.386428e-16    3.484606e-14    4.040366e-15    1.604178e-15    1.363907e-16    2.460613e-10    2.580144e-09    9.644247e-06    3.483527e-06    6.058530e-09    4.264605e-10    1.285578e-08    2.065096e-07    2.297535e-23    1.201314e-20    3.141835e-18    2.823057e-21    0.000000e+00    0.000000e+00    7.683740e-01    
2.962306e-05        2.807923e-03        1.200000e+03        5.066250e+05        1.200000e+03        5.066250e+05        9.478823e+01        1.422267e+00        2.800979e+01        3.976996e-04    1.818547e-12    5.682602e-07    1.650577e-01    1.175289e-08    2.010227e-06    4.007203e-05    3.321768e-07    6.623394e-02    2.901120e-07    1.127225e-13    1.853547e-15    1.545666e-15    2.989688e-14    3.916309e-15    1.500344e-15    1.296885e-16    2.129084e-10    2.330215e-09    6.549027e-06    2.107183e-06    3.664981e-09    1.997650e-10    6.126726e-09    1.315604e-07    2.210530e-23    1.115663e-20    2.827660e-18    2.696972e-21    0.000000e+00    0.000000e+00    7.682586e-01    4.260429e-04    1.105745e-12    4.090043e-08    1.885596e-01    4.229562e-10    1.148228e-06    2.433095e-05    3.914284e-07    4.259954e-02    3.523007e-07    6.448288e-14    9.936168e-16    7.729490e-16    3.097729e-14    4.618231e-15    1.715258e-15    1.482655e-16    2.357440e-10    2.580144e-09    1.075652e-05    3.536799e-06    6.151482e-09    4.422108e-10    1.378294e-08    2.067266e-07    2.529067e-23    1.236280e-20    3.031605e-18    2.891491e-21    0.000000e+00    0.000000e+00    7.683740e-01    
