
-----------------------------------------------------------------------------
Status                        Inlet               Outlet
-----------------------------------------------------------------------------
Time[s]                       0                   0.00591527
T[K]                          1597.288            1598.309
P[atm]                        5.00000             5.00000
rho[kg/m3]                    1.01361             1.01303
MW[kg/kmol]                   26.57062            26.57227
Phi[-]                        0.00000             0.50251
H[J/kg]                       2.912797e+04        2.912797e+04
U[J/kg]                       -4.706945e+05       -4.709829e+05
Conv.(%) O2                   0.000000e+00        -5.220417e-02
Conv.(%) N2                   0.000000e+00        -1.737778e-05
Total species (kmol/s)        2.528271e-03        2.528113e-03
Element(kmol/s) H             9.074935e-04        9.074935e-04
Element(kmol/s) O             9.029562e-04        9.029562e-04
Element(kmol/s) N             3.699333e-03        3.699333e-03
-----------------------------------------------------------------------------

-----------------------------------------------------------------------------
Mass fractions                Inlet               Outlet
-----------------------------------------------------------------------------
NO                            1.718452e-03        1.717554e-03
NH3                           9.938111e-11        2.327856e-12
H2                            1.354501e-06        1.667366e-07
O2                            1.059511e-01        1.060064e-01
H                             1.825716e-08        1.601076e-09
O                             5.426588e-06        1.393111e-06
OH                            2.333480e-04        1.041111e-04
HO2                           1.116138e-06        5.456567e-07
H2O                           1.215446e-01        1.216240e-01
H2O2                          1.624541e-07        6.673531e-08
NH2                           9.638938e-12        1.262145e-13
NH                            8.128132e-13        2.186769e-14
N                             1.762523e-12        1.839994e-13
NNH                           2.993133e-12        2.514567e-13
NH2OH                         9.265389e-14        1.806832e-15
H2NO                          2.933158e-13        5.149533e-14
HNOH                          4.011234e-14        5.967468e-15
HNO                           4.032030e-09        1.230988e-09
HON                           5.672714e-09        5.672689e-09
NO2                           1.498187e-05        1.641531e-05
HONO                          5.038050e-07        4.471275e-07
HNO2                          2.227296e-09        1.745779e-09
NO3                           3.819126e-11        2.182174e-11
HONO2                         6.008283e-10        5.655657e-10
N2O                           5.798320e-07        3.711377e-07
N2H4                          9.022992e-21        8.518341e-24
N2H3                          3.288243e-19        2.032387e-21
N2H2                          2.642764e-16        4.760015e-18
H2NN                          3.966836e-18        4.262124e-20
AR                            0.000000e+00        0.000000e+00
HE                            0.000000e+00        0.000000e+00
N2                            7.705283e-01        7.705285e-01
--------------------------------------------------------------

-----------------------------------------------------------------------------
Mole fractions                Inlet               Outlet
-----------------------------------------------------------------------------
NO                            1.521707e-03        1.521006e-03
NH3                           1.550477e-10        3.631990e-12
H2                            1.785215e-05        2.197703e-06
O2                            8.798006e-02        8.803146e-02
H                             4.812538e-07        4.220656e-08
O                             9.012299e-06        2.313777e-06
OH                            3.645675e-04        1.626664e-04
HO2                           8.985178e-07        4.392940e-07
H2O                           1.792681e-01        1.793964e-01
H2O2                          1.269038e-07        5.213466e-08
NH2                           1.598406e-11        2.093119e-13
NH                            1.438358e-12        3.869957e-14
N                             3.343422e-12        3.490598e-13
NNH                           2.740314e-12        2.302313e-13
NH2OH                         7.453439e-14        1.453576e-15
H2NO                          2.433821e-13        4.273149e-14
HNOH                          3.328366e-14        4.951882e-15
HNO                           3.454360e-09        1.054690e-09
HON                           4.859983e-09        4.860264e-09
NO2                           8.652917e-06        9.481405e-06
HONO                          2.847385e-07        2.527214e-07
HNO2                          1.258814e-09        9.867335e-10
NO3                           1.636613e-11        9.351867e-12
HONO2                         2.533546e-10        2.385000e-10
N2O                           3.500442e-07        2.240695e-07
N2H4                          7.481322e-21        7.063335e-24
N2H3                          2.814957e-19        1.739968e-21
N2H2                          2.338324e-16        4.211935e-18
H2NN                          3.509866e-18        3.771372e-20
AR                            0.000000e+00        0.000000e+00
HE                            0.000000e+00        0.000000e+00
N2                            7.308279e-01        7.308734e-01
-----------------------------------------------------------------------------
