
-----------------------------------------------------------------------------
Status                        Inlet               Outlet
-----------------------------------------------------------------------------
Time[s]                       0                   0.0110863
T[K]                          1790.629            1841.874
P[atm]                        5.00000             5.00000
rho[kg/m3]                    0.87922             0.85820
MW[kg/kmol]                   25.83750            25.94160
Phi[-]                        0.00000             0.67284
H[J/kg]                       -4.281932e+04       -4.281932e+04
U[J/kg]                       -6.190405e+05       -6.331528e+05
Conv.(%) O2                   0.000000e+00        7.174209e+00
Conv.(%) N2                   0.000000e+00        1.499575e-04
Total species (kmol/s)        1.992304e-03        1.984309e-03
Element(kmol/s) H             9.074935e-04        9.074935e-04
Element(kmol/s) O             6.743770e-04        6.743770e-04
Element(kmol/s) N             2.839440e-03        2.839440e-03
-----------------------------------------------------------------------------

-----------------------------------------------------------------------------
Mass fractions                Inlet               Outlet
-----------------------------------------------------------------------------
NO                            1.620193e-03        1.617252e-03
NH3                           6.983753e-08        1.329012e-10
H2                            6.365600e-04        4.536104e-06
O2                            7.266046e-02        6.744765e-02
H                             4.586267e-06        1.009436e-07
O                             2.444434e-06        1.740353e-05
OH                            2.850356e-04        5.853271e-04
HO2                           2.446335e-08        1.832184e-06
H2O                           1.529164e-01        1.584447e-01
H2O2                          1.382296e-08        2.470455e-07
NH2                           4.457124e-09        1.972256e-11
NH                            1.451915e-09        6.880183e-12
N                             2.124532e-09        1.935370e-11
NNH                           1.006196e-09        1.909124e-11
NH2OH                         5.794866e-12        1.010148e-13
H2NO                          1.438241e-10        8.678117e-13
HNOH                          3.352114e-11        1.476606e-13
HNO                           1.096028e-07        7.277355e-09
HON                           9.615643e-09        9.614709e-09
NO2                           1.384891e-07        7.289002e-06
HONO                          3.741625e-08        3.020504e-07
HNO2                          2.621206e-10        1.620522e-09
NO3                           9.869036e-15        1.513083e-11
HONO2                         4.689193e-13        1.916122e-10
N2O                           8.058962e-08        6.864029e-07
N2H4                          6.365633e-17        1.007698e-20
N2H3                          2.114910e-15        6.159733e-19
N2H2                          2.686083e-13        5.170051e-16
H2NN                          4.111698e-15        6.616946e-18
AR                            0.000000e+00        0.000000e+00
HE                            0.000000e+00        0.000000e+00
N2                            7.718739e-01        7.718727e-01
--------------------------------------------------------------

-----------------------------------------------------------------------------
Mole fractions                Inlet               Outlet
-----------------------------------------------------------------------------
NO                            1.395112e-03        1.398191e-03
NH3                           1.059496e-07        2.024349e-10
H2                            8.158292e-03        5.836994e-05
O2                            5.867131e-02        5.468154e-02
H                             1.175572e-04        2.597855e-06
O                             3.947626e-06        2.821898e-05
OH                            4.330339e-04        8.928278e-04
HO2                           1.915021e-08        1.440035e-06
H2O                           2.193159e-01        2.281603e-01
H2O2                          1.050011e-08        1.884152e-07
NH2                           7.187228e-09        3.193127e-11
NH                            2.498424e-09        1.188698e-11
N                             3.918940e-09        3.584393e-11
NNH                           8.957893e-10        1.706489e-11
NH2OH                         4.532995e-12        7.933654e-14
H2NO                          1.160469e-10        7.030299e-13
HNOH                          2.704710e-11        1.196225e-13
HNO                           9.130913e-08        6.087129e-09
HON                           8.010710e-09        8.042205e-09
NO2                           7.777879e-08        4.110170e-06
HONO                          2.056330e-08        1.666703e-07
HNO2                          1.440568e-10        8.941981e-10
NO3                           4.112496e-15        6.330527e-12
HONO2                         1.922761e-13        7.888542e-11
N2O                           4.730953e-08        4.045711e-07
N2H4                          5.132374e-17        8.157425e-21
N2H3                          1.760551e-15        5.148313e-19
N2H2                          2.311078e-13        4.466181e-16
H2NN                          3.537662e-15        5.716090e-18
AR                            0.000000e+00        0.000000e+00
HE                            0.000000e+00        0.000000e+00
N2                            7.119044e-01        7.147716e-01
-----------------------------------------------------------------------------
