t[s](1)             csi[m](2)           T0[K](3)            P0[Pa](4)           T[K](5)             P[Pa](6)            v[m/s](7)           rho[kg/m3](8)       MW[kg/kmol](9)      NO_x(10)        NH3_x(11)       H2_x(12)        O2_x(13)        H_x(14)         O_x(15)         OH_x(16)        HO2_x(17)       H2O_x(18)       H2O2_x(19)      NH2_x(20)       NH_x(21)        N_x(22)         NNH_x(23)       NH2OH_x(24)     H2NO_x(25)      HNOH_x(26)      HNO_x(27)       HON_x(28)       NO2_x(29)       HONO_x(30)      HNO2_x(31)      NO3_x(32)       HONO2_x(33)     N2O_x(34)       N2H4_x(35)      N2H3_x(36)      N2H2_x(37)      H2NN_x(38)      AR_x(39)        HE_x(40)        N2_x(41)        NO_w(42)        NH3_w(43)       H2_w(44)        O2_w(45)        H_w(46)         O_w(47)         OH_w(48)        HO2_w(49)       H2O_w(50)       H2O2_w(51)      NH2_w(52)       NH_w(53)        N_w(54)         NNH_w(55)       NH2OH_w(56)     H2NO_w(57)      HNOH_w(58)      HNO_w(59)       HON_w(60)       NO2_w(61)       HONO_w(62)      HNO2_w(63)      NO3_w(64)       HONO2_w(65)     N2O_w(66)       N2H4_w(67)      N2H3_w(68)      N2H2_w(69)      H2NN_w(70)      AR_w(71)        HE_w(72)        N2_w(73)        
0.000000e+00        0.000000e+00        2.046906e+03        5.066250e+05        2.046906e+03        5.066250e+05        1.609696e+01        7.367732e-01        2.475023e+01        2.809905e-03    8.219872e-06    8.245064e-03    4.010127e-04    2.225197e-04    1.755735e-05    1.007285e-03    1.799976e-07    3.039576e-01    6.058852e-08    8.550008e-07    1.235865e-07    3.802772e-08    1.669597e-09    6.093165e-10    6.753669e-10    1.530104e-10    2.873474e-07    8.474912e-09    2.810652e-07    1.000992e-07    6.607414e-10    6.916040e-14    1.683616e-12    3.936579e-06    1.193331e-12    1.764883e-11    1.331139e-09    9.851741e-12    0.000000e+00    0.000000e+00    6.833249e-01    3.406595e-03    5.656216e-06    6.715918e-04    5.184438e-04    9.062537e-06    1.134939e-05    6.921511e-04    2.400382e-07    2.212423e-01    8.326621e-08    5.535172e-07    7.497509e-08    2.152119e-08    1.957762e-09    8.131530e-10    8.737938e-10    1.979658e-10    3.600691e-07    1.061974e-08    5.224357e-07    1.901383e-07    1.255077e-09    1.732599e-13    4.286345e-12    7.000366e-06    1.545097e-12    2.213250e-11    1.615100e-09    1.195334e-11    0.000000e+00    0.000000e+00    7.734338e-01    
1.702084e-07        2.739841e-06        2.046906e+03        5.066250e+05        2.046913e+03        5.066250e+05        1.609700e+01        7.367710e-01        2.475024e+01        2.809856e-03    8.145484e-06    8.244347e-03    4.006769e-04    2.224450e-04    1.754695e-05    1.007018e-03    1.798561e-07    3.039588e-01    6.056094e-08    8.428231e-07    1.208121e-07    3.687955e-08    1.668432e-09    6.038646e-10    6.644830e-10    1.504624e-10    2.869126e-07    8.474917e-09    2.810323e-07    1.000747e-07    6.605837e-10    6.911284e-14    1.682920e-12    3.920686e-06    1.009938e-12    1.677895e-11    1.225200e-09    9.150617e-12    0.000000e+00    0.000000e+00    6.833253e-01    3.406534e-03    5.605026e-06    6.715330e-04    5.180095e-04    9.059489e-06    1.134267e-05    6.919669e-04    2.398494e-07    2.212430e-01    8.322827e-08    5.456332e-07    7.329198e-08    2.087139e-08    1.956395e-09    8.058769e-10    8.597118e-10    1.946691e-10    3.595240e-07    1.061974e-08    5.223743e-07    1.900915e-07    1.254777e-09    1.731406e-13    4.284572e-12    6.972100e-06    1.307642e-12    2.104162e-11    1.486562e-09    1.110264e-11    0.000000e+00    0.000000e+00    7.734339e-01    
8.593021e-07        1.383226e-05        2.046906e+03        5.066250e+05        2.046941e+03        5.066250e+05        1.609720e+01        7.367621e-01        2.475029e+01        2.809664e-03    7.842419e-06    8.241470e-03    3.993248e-04    2.221160e-04    1.750738e-05    1.005941e-03    1.792082e-07    3.039635e-01    6.041941e-08    8.059110e-07    1.143465e-07    3.429740e-08    1.664202e-09    5.780878e-10    6.350096e-10    1.437808e-10    2.854728e-07    8.474940e-09    2.808742e-07    9.994420e-08    6.597395e-10    6.890643e-14    1.679901e-12    3.852113e-06    7.499557e-13    1.252671e-11    8.881155e-10    6.838831e-12    0.000000e+00    0.000000e+00    6.833269e-01    3.406295e-03    5.396472e-06    6.712974e-04    5.162605e-04    9.046074e-06    1.131707e-05    6.912259e-04    2.389850e-07    2.212460e-01    8.303362e-08    5.217359e-07    6.936941e-08    1.941002e-08    1.951430e-09    7.714755e-10    8.215775e-10    1.860241e-10    3.577192e-07    1.061975e-08    5.220795e-07    1.898433e-07    1.253171e-09    1.726232e-13    4.276876e-12    6.850145e-06    9.710223e-13    1.570908e-11    1.077568e-09    8.297685e-12    0.000000e+00    0.000000e+00    7.734343e-01    
2.559010e-06        4.119322e-05        2.046906e+03        5.066250e+05        2.047011e+03        5.066250e+05        1.609767e+01        7.367404e-01        2.475040e+01        2.809223e-03    7.137522e-06    8.234403e-03    3.960373e-04    2.213065e-04    1.740994e-05    1.003276e-03    1.775318e-07    3.039748e-01    6.007518e-08    7.316211e-07    1.041104e-07    3.142024e-08    1.654815e-09    5.225507e-10    5.868802e-10    1.327543e-10    2.830242e-07    8.474994e-09    2.803955e-07    9.963001e-08    6.577070e-10    6.838157e-14    1.671943e-12    3.673942e-06    6.043956e-13    6.139085e-12    4.434939e-10    3.373256e-12    0.000000e+00    0.000000e+00    6.833309e-01    3.405745e-03    4.911401e-06    6.707187e-04    5.120080e-04    9.013064e-06    1.125402e-05    6.893915e-04    2.367482e-07    2.212533e-01    8.256016e-08    4.736394e-07    6.315926e-08    1.778166e-08    1.940414e-09    6.973564e-10    7.593040e-10    1.717571e-10    3.546493e-07    1.061977e-08    5.211874e-07    1.892456e-07    1.249304e-09    1.713075e-13    4.256596e-12    6.533276e-06    7.825514e-13    7.698659e-12    5.380972e-10    4.092818e-12    0.000000e+00    0.000000e+00    7.734352e-01    
6.344873e-06        1.021388e-04        2.046906e+03        5.066250e+05        2.047162e+03        5.066250e+05        1.609870e+01        7.366935e-01        2.475065e+01        2.808366e-03    5.794819e-06    8.218852e-03    3.889391e-04    2.195178e-04    1.719472e-05    9.973516e-04    1.738927e-07    3.039996e-01    5.931526e-08    5.911917e-07    8.491954e-08    2.633643e-08    1.635487e-09    4.205451e-10    4.989183e-10    1.126093e-10    2.782790e-07    8.475108e-09    2.792490e-07    9.893889e-08    6.532343e-10    6.720740e-14    1.653869e-12    3.265037e-06    3.903163e-13    2.018276e-12    1.521989e-10    1.104530e-12    0.000000e+00    0.000000e+00    6.833395e-01    3.404670e-03    3.987433e-06    6.694452e-04    5.028261e-04    8.940123e-06    1.111479e-05    6.853135e-04    2.318929e-07    2.212690e-01    8.151498e-08    3.827238e-07    5.151650e-08    1.490443e-08    1.917731e-09    5.612217e-10    6.454925e-10    1.456921e-10    3.486996e-07    1.061980e-08    5.190509e-07    1.879309e-07    1.240796e-09    1.683643e-13    4.210539e-12    5.806072e-06    5.053634e-13    2.530973e-12    1.846631e-10    1.340128e-12    0.000000e+00    0.000000e+00    7.734370e-01    
1.560255e-05        2.511863e-04        2.046906e+03        5.066250e+05        2.047513e+03        5.066250e+05        1.610106e+01        7.365854e-01        2.475126e+01        2.806816e-03    3.525823e-06    8.182169e-03    3.727923e-04    2.151988e-04    1.667422e-05    9.827962e-04    1.655701e-07    3.040571e-01    5.748027e-08    3.557531e-07    5.250842e-08    1.784232e-08    1.593690e-09    2.508411e-10    3.525492e-10    7.909551e-11    2.692266e-07    8.475361e-09    2.765096e-07    9.727868e-08    6.424773e-10    6.441773e-14    1.610572e-12    2.331801e-06    1.410688e-13    6.113254e-13    4.770176e-11    3.412039e-13    0.000000e+00    0.000000e+00    6.833593e-01    3.402708e-03    2.426070e-06    6.664409e-04    4.819394e-04    8.764014e-06    1.077807e-05    6.752954e-04    2.207891e-07    2.213054e-01    7.899128e-08    2.303006e-07    3.185349e-08    1.009716e-08    1.868675e-09    3.347418e-10    4.561113e-10    1.023300e-10    3.373482e-07    1.061986e-08    5.139465e-07    1.847729e-07    1.220333e-09    1.613719e-13    4.100210e-12    4.146437e-06    1.826448e-13    7.666000e-13    5.787519e-11    4.139729e-13    0.000000e+00    0.000000e+00    7.734405e-01    
2.570259e-05        4.138199e-04        2.046906e+03        5.066250e+05        2.047870e+03        5.066250e+05        1.610345e+01        7.364762e-01        2.475190e+01        2.805688e-03    2.093932e-06    8.144517e-03    3.568641e-04    2.105544e-04    1.611233e-05    9.667154e-04    1.572963e-07    3.041156e-01    5.550292e-08    2.087879e-07    3.206544e-08    1.251498e-08    1.553478e-09    1.460980e-10    2.619259e-10    5.835500e-11    2.619322e-07    8.475607e-09    2.736039e-07    9.549023e-08    6.308696e-10    6.148230e-14    1.564438e-12    1.555760e-06    4.839275e-14    2.101527e-13    1.678946e-11    1.239875e-13    0.000000e+00    0.000000e+00    6.833792e-01    3.401252e-03    1.440768e-06    6.633569e-04    4.613357e-04    8.574645e-06    1.041460e-05    6.642288e-04    2.097504e-07    2.213422e-01    7.627196e-08    1.351576e-07    1.945154e-08    7.082177e-09    1.821477e-09    1.949594e-10    3.388584e-10    7.549494e-11    3.281996e-07    1.061989e-08    5.085325e-07    1.813712e-07    1.198254e-09    1.540143e-13    3.982658e-12    2.766400e-06    6.265352e-14    2.635240e-13    2.036964e-11    1.504265e-13    0.000000e+00    0.000000e+00    7.734429e-01    
3.815923e-05        6.144320e-04        2.046906e+03        5.066250e+05        2.048280e+03        5.066250e+05        1.610618e+01        7.363514e-01        2.475266e+01        2.804737e-03    1.138939e-06    8.101406e-03    3.392021e-04    2.049490e-04    1.543274e-05    9.467625e-04    1.480601e-07    3.041826e-01    5.311543e-08    1.120411e-07    1.851209e-08    8.987984e-09    1.508537e-09    7.804439e-11    2.029331e-10    4.486183e-11    2.549682e-07    8.475881e-09    2.700896e-07    9.331410e-08    6.167219e-10    5.801523e-14    1.508998e-12    9.366180e-07    1.400429e-14    6.914726e-14    5.591674e-12    4.592641e-14    0.000000e+00    0.000000e+00    6.834019e-01    3.399995e-03    7.836436e-07    6.598253e-04    4.384897e-04    8.346114e-06    9.975022e-06    6.504993e-04    1.974281e-07    2.213842e-01    7.298884e-08    7.252692e-08    1.122946e-08    5.086107e-09    1.768730e-09    1.041426e-10    2.625302e-10    5.803680e-11    3.194640e-07    1.061991e-08    5.019852e-07    1.772325e-07    1.171346e-09    1.453248e-13    3.841404e-12    1.665411e-06    1.813064e-14    8.670552e-14    6.783834e-12    5.571804e-14    0.000000e+00    0.000000e+00    7.734448e-01    
5.289653e-05        8.518158e-04        2.046906e+03        5.066250e+05        2.048728e+03        5.066250e+05        1.610915e+01        7.362154e-01        2.475351e+01        2.803933e-03    5.861065e-07    8.054696e-03    3.205785e-04    1.985615e-04    1.465997e-05    9.234097e-04    1.382880e-07    3.042558e-01    5.040553e-08    5.692504e-08    1.074794e-08    6.944259e-09    1.459776e-09    3.988600e-11    1.699452e-10    3.732305e-11    2.482600e-07    8.476175e-09    2.660260e-07    9.080547e-08    6.003859e-10    5.416364e-14    1.445997e-12    5.340070e-07    3.607995e-15    2.189681e-14    1.794429e-12    1.869256e-14    0.000000e+00    0.000000e+00    6.834264e-01    3.398904e-03    4.032551e-07    6.559986e-04    4.144007e-04    8.085720e-06    9.475218e-06    6.344324e-04    1.843914e-07    2.214299e-01    6.926264e-08    3.684770e-08    6.519493e-09    3.929472e-09    1.711500e-09    5.322214e-11    2.198471e-10    4.828240e-11    3.110482e-07    1.061991e-08    4.944157e-07    1.724619e-07    1.140280e-09    1.356722e-13    3.680897e-12    9.494917e-07    4.670926e-15    2.745603e-14    2.176932e-12    2.267709e-14    0.000000e+00    0.000000e+00    7.734462e-01    
7.020632e-05        1.130690e-03        2.046906e+03        5.066250e+05        2.049211e+03        5.066250e+05        1.611235e+01        7.360693e-01        2.475443e+01        2.803198e-03    2.960678e-07    8.004988e-03    3.011990e-04    1.914770e-04    1.380942e-05    8.968731e-04    1.281395e-07    3.043344e-01    4.742859e-08    2.852764e-08    6.708503e-09    5.831916e-09    1.407131e-09    2.058478e-11    1.535650e-10    3.358383e-11    2.415034e-07    8.476489e-09    2.614109e-07    8.798733e-08    5.820076e-10    5.002159e-14    1.376350e-12    3.089179e-07    9.417571e-16    8.017555e-15    6.657143e-13    9.989508e-15    0.000000e+00    0.000000e+00    6.834526e-01    3.397886e-03    2.036941e-07    6.519260e-04    3.893349e-04    7.796940e-06    8.925146e-06    6.161774e-04    1.708532e-07    2.214789e-01    6.516958e-08    1.846532e-08    4.069097e-09    3.299920e-09    1.649715e-09    2.746641e-11    1.986496e-10    4.344359e-11    3.025715e-07    1.061991e-08    4.858204e-07    1.671034e-07    1.105334e-09    1.252923e-13    3.503476e-12    5.492513e-07    1.219157e-15    1.005270e-14    8.075888e-13    1.211843e-14    0.000000e+00    0.000000e+00    7.734471e-01    
