
-----------------------------------------------------------------------------
Status                        Initial             Final
-----------------------------------------------------------------------------
Time[s]                       0                   0.00731003
Length[m]                     0                   0.11811
T[K]                          2046.906            2056.818
P[atm]                        5.00000             5.00000
V[m3]                         16.09696            16.16295
rho[kg/m3]                    0.73377             0.73377
MW[kg/kmol]                   24.75023            24.76854
Phi[-]                        1.01371             1.01371
H[J/kg]                       -4.048767e+05       -4.048778e+05
U[J/kg]                       -1.092503e+06       -1.095323e+06
E[J/kg]                       -4.047471e+05       -4.047471e+05
Conv.(%) NO                   0.000e+00           5.062e+00
Conv.(%) NH3                  0.000e+00           9.917e+01
Conv.(%) H2                   0.000e+00           1.226e+01
Conv.(%) O2                   0.000e+00           8.278e+01
Conv.(%) H                    0.000e+00           5.925e+01
Conv.(%) O                    0.000e+00           7.823e+01
Conv.(%) OH                   0.000e+00           5.265e+01
Conv.(%) HO2                  0.000e+00           8.715e+01
Conv.(%) H2O                  0.000e+00           -4.458e-01
Conv.(%) H2O2                 0.000e+00           7.874e+01
Conv.(%) NH2                  0.000e+00           9.954e+01
Conv.(%) NH                   0.000e+00           9.886e+01
Conv.(%) N                    0.000e+00           9.322e+01
Conv.(%) NNH                  0.000e+00           5.981e+01
Conv.(%) NH2OH                0.000e+00           9.931e+01
Conv.(%) H2NO                 0.000e+00           7.754e+01
Conv.(%) HNOH                 0.000e+00           7.827e+01
Conv.(%) HNO                  0.000e+00           5.253e+01
Conv.(%) HON                  0.000e+00           3.954e-02
Conv.(%) NO2                  0.000e+00           3.923e+01
Conv.(%) HONO                 0.000e+00           5.690e+01
Conv.(%) HNO2                 0.000e+00           5.652e+01
Conv.(%) NO3                  0.000e+00           8.730e+01
Conv.(%) HONO2                0.000e+00           7.276e+01
Conv.(%) N2O                  0.000e+00           9.837e+01
Conv.(%) N2H4                 0.000e+00           1.000e+02
Conv.(%) N2H3                 0.000e+00           9.999e+01
Conv.(%) N2H2                 0.000e+00           9.999e+01
Conv.(%) H2NN                 0.000e+00           9.998e+01
Conv.(%) N2                   0.000e+00           -1.167e-02
Total species (kmol/m2/s)     4.791796e-01        4.788253e-01
Element(kmol/m2/s) H          2.998047e-01        2.998047e-01
Element(kmol/m2/s) O          1.478748e-01        1.478748e-01
Element(kmol/m2/s) N          6.562258e-01        6.562258e-01
-----------------------------------------------------------------------------

-----------------------------------------------------------------------------
Mass fractions                Initial             Final
-----------------------------------------------------------------------------
NO                            3.406595e-03        3.234160e-03
NH3                           5.656216e-06        4.707182e-08
H2                            6.715918e-04        5.892791e-04
O2                            5.184438e-04        8.926361e-05
H                             9.062537e-06        3.693101e-06
O                             1.134939e-05        2.471086e-06
OH                            6.921511e-04        3.277373e-04
HO2                           2.400382e-07        3.084425e-08
H2O                           2.212423e-01        2.222285e-01
H2O2                          8.326621e-08        1.769946e-08
NH2                           5.535172e-07        2.557566e-09
NH                            7.497509e-08        8.551365e-10
N                             2.152119e-08        1.458786e-09
NNH                           1.957762e-09        7.868824e-10
NH2OH                         8.131530e-10        5.636715e-12
H2NO                          8.737938e-10        1.962804e-10
HNOH                          1.979658e-10        4.301888e-11
HNO                           3.600691e-07        1.709424e-07
HON                           1.061974e-08        1.061554e-08
NO2                           5.224357e-07        3.174669e-07
HONO                          1.901383e-07        8.194016e-08
HNO2                          1.255077e-09        5.457400e-10
NO3                           1.732599e-13        2.199883e-14
HONO2                         4.286345e-12        1.167781e-12
N2O                           7.000366e-06        1.139094e-07
N2H4                          1.545097e-12        2.229328e-17
N2H3                          2.213250e-11        1.143515e-15
N2H2                          1.615100e-09        1.634263e-13
H2NN                          1.195334e-11        2.427758e-15
AR                            0.000000e+00        0.000000e+00
HE                            0.000000e+00        0.000000e+00
N2                            7.734338e-01        7.735241e-01
--------------------------------------------------------------

-----------------------------------------------------------------------------
Mole fractions                Initial             Final
-----------------------------------------------------------------------------
NO                            2.809905e-03        2.669647e-03
NH3                           8.219872e-06        6.845754e-08
H2                            8.245064e-03        7.239874e-03
O2                            4.010127e-04        6.909588e-05
H                             2.225197e-04        9.074676e-05
O                             1.755735e-05        3.825564e-06
OH                            1.007285e-03        4.773080e-04
HO2                           1.799976e-07        2.314632e-08
H2O                           3.039576e-01        3.055386e-01
H2O2                          6.058852e-08        1.288851e-08
NH2                           8.550008e-07        3.953516e-09
NH                            1.235865e-07        1.410622e-09
N                             3.802772e-08        2.579568e-09
NNH                           1.669597e-09        6.715572e-10
NH2OH                         6.093165e-10        4.226861e-12
H2NO                          6.753669e-10        1.518200e-10
HNOH                          1.530104e-10        3.327447e-11
HNO                           2.873474e-07        1.365188e-07
HON                           8.474912e-09        8.477830e-09
NO2                           2.810652e-07        1.709204e-07
HONO                          1.000992e-07        4.316973e-08
HNO2                          6.607414e-10        2.875202e-10
NO3                           6.916040e-14        8.787805e-15
HONO2                         1.683616e-12        4.590272e-13
N2O                           3.936579e-06        6.410312e-08
N2H4                          1.193331e-12        1.723061e-17
N2H3                          1.764883e-11        9.125333e-16
N2H2                          1.331139e-09        1.347929e-13
H2NN                          9.851741e-12        2.002399e-15
AR                            0.000000e+00        0.000000e+00
HE                            0.000000e+00        0.000000e+00
N2                            6.833249e-01        6.839104e-01
-----------------------------------------------------------------------------
