
-----------------------------------------------------------------------------
Status                        Inlet               Outlet
-----------------------------------------------------------------------------
Time[s]                       0                   1.17718e-07
T[K]                          800.000             800.000
P[atm]                        5.00000             5.00000
rho[kg/m3]                    2.19744             2.19744
MW[kg/kmol]                   28.85064            28.85064
Phi[-]                        0.00000             0.00000
H[J/kg]                       5.272431e+05        5.272431e+05
U[J/kg]                       2.966912e+05        2.966912e+05
Conv.(%) O2                   0.000000e+00        0.000000e+00
Conv.(%) N2                   0.000000e+00        0.000000e+00
Total species (kmol/s)        6.470216e-03        6.470216e-03
Element(kmol/s) O             2.717491e-03        2.717491e-03
Element(kmol/s) N             1.022294e-02        1.022294e-02
-----------------------------------------------------------------------------

-----------------------------------------------------------------------------
Mass fractions                Inlet               Outlet
-----------------------------------------------------------------------------
NO                            0.000000e+00        5.161209e-44
NH3                           0.000000e+00        2.708336e-67
H2                            0.000000e+00        1.278654e-43
O2                            2.329092e-01        2.329092e-01
H                             0.000000e+00        3.470789e-35
O                             0.000000e+00        6.449188e-27
OH                            0.000000e+00        2.554787e-35
HO2                           0.000000e+00        3.149476e-33
H2O                           0.000000e+00        4.954720e-44
H2O2                          0.000000e+00        3.712228e-45
NH2                           0.000000e+00        2.253744e-57
NH                            0.000000e+00        0.000000e+00
N                             0.000000e+00        8.970880e-45
NNH                           0.000000e+00        0.000000e+00
NH2OH                         0.000000e+00        3.952834e-87
H2NO                          0.000000e+00        0.000000e+00
HNOH                          0.000000e+00        0.000000e+00
HNO                           0.000000e+00        0.000000e+00
HON                           0.000000e+00        5.387782e-111
NO2                           0.000000e+00        3.873604e-44
HONO                          0.000000e+00        2.089886e-76
HNO2                          0.000000e+00        1.604697e-81
NO3                           0.000000e+00        3.613991e-63
HONO2                         0.000000e+00        2.435829e-76
N2O                           0.000000e+00        1.770900e-26
N2H4                          0.000000e+00        6.715357e-65
N2H3                          0.000000e+00        1.727485e-78
N2H2                          0.000000e+00        1.299872e-78
H2NN                          0.000000e+00        9.608801e-70
AR                            0.000000e+00        0.000000e+00
HE                            0.000000e+00        0.000000e+00
N2                            7.670908e-01        7.670908e-01
--------------------------------------------------------------

-----------------------------------------------------------------------------
Mole fractions                Inlet               Outlet
-----------------------------------------------------------------------------
NO                            0.000000e+00        4.962481e-44
NH3                           0.000000e+00        4.587941e-67
H2                            0.000000e+00        1.829860e-42
O2                            2.100000e-01        2.100000e-01
H                             0.000000e+00        9.933975e-34
O                             0.000000e+00        1.162968e-26
OH                            0.000000e+00        4.333935e-35
HO2                           0.000000e+00        2.752966e-33
H2O                           0.000000e+00        7.934879e-44
H2O2                          0.000000e+00        3.148708e-45
NH2                           0.000000e+00        4.058039e-57
NH                            0.000000e+00        0.000000e+00
N                             0.000000e+00        1.847759e-44
NNH                           0.000000e+00        0.000000e+00
NH2OH                         0.000000e+00        3.452673e-87
H2NO                          0.000000e+00        0.000000e+00
HNOH                          0.000000e+00        0.000000e+00
HNO                           0.000000e+00        0.000000e+00
HON                           0.000000e+00        5.011961e-111
NO2                           0.000000e+00        2.429213e-44
HONO                          0.000000e+00        1.282508e-76
HNO2                          0.000000e+00        9.847601e-82
NO3                           0.000000e+00        1.681601e-63
HONO2                         0.000000e+00        1.115267e-76
N2O                           0.000000e+00        1.160829e-26
N2H4                          0.000000e+00        6.045757e-65
N2H3                          0.000000e+00        1.605743e-78
N2H2                          0.000000e+00        1.248822e-78
H2NN                          0.000000e+00        9.231437e-70
AR                            0.000000e+00        0.000000e+00
HE                            0.000000e+00        0.000000e+00
N2                            7.900000e-01        7.900000e-01
-----------------------------------------------------------------------------
