
-----------------------------------------------------------------------------
Status                        Inlet               Outlet
-----------------------------------------------------------------------------
Time[s]                       0                   0.00158407
T[K]                          668.461             2287.870
P[atm]                        5.00000             5.00000
rho[kg/m3]                    2.39165             0.65734
MW[kg/kmol]                   26.23748            24.68130
Phi[-]                        0.00000             1.01371
H[J/kg]                       6.815709e+04        6.815709e+04
U[J/kg]                       -1.436732e+05       -7.025645e+05
Conv.(%) O2                   0.000000e+00        9.842621e+01
Conv.(%) N2                   0.000000e+00        -1.763025e+01
Total species (kmol/s)        1.368235e-03        1.454503e-03
Element(kmol/s) H             9.074935e-04        9.074935e-04
Element(kmol/s) O             4.476094e-04        4.476094e-04
Element(kmol/s) N             1.986362e-03        1.986362e-03
-----------------------------------------------------------------------------

-----------------------------------------------------------------------------
Mass fractions                Inlet               Outlet
-----------------------------------------------------------------------------
NO                            4.420528e-44        3.780709e-03
NH3                           1.435092e-01        3.117706e-04
H2                            1.400339e-42        1.028774e-03
O2                            1.994846e-01        3.139462e-03
H                             3.801091e-34        2.573691e-05
O                             5.523670e-27        5.526803e-05
OH                            1.458078e-34        1.819161e-03
HO2                           1.707403e-118       1.330042e-06
H2O                           6.647857e-83        2.167514e-01
H2O2                          4.345691e-42        1.593092e-07
NH2                           7.718556e-57        5.263985e-05
NH                            3.263982e-59        1.182366e-05
N                             7.683477e-45        4.424943e-06
NNH                           1.140313e-38        1.258184e-08
NH2OH                         1.354226e-86        3.954582e-08
H2NO                          3.681115e-63        9.101509e-08
HNOH                          7.018935e-69        2.610087e-08
HNO                           4.704311e-61        3.575340e-06
HON                           2.251786e-133       1.060699e-08
NO2                           3.317706e-44        8.765795e-07
HONO                          6.381148e-86        1.638905e-07
HNO2                          1.102315e-90        1.314663e-09
NO3                           3.095351e-63        3.998271e-13
HONO2                         5.551494e-86        5.647103e-12
N2O                           1.516759e-26        1.736962e-04
N2H4                          2.300656e-64        1.794985e-09
N2H3                          7.021195e-69        5.443398e-09
N2H2                          1.391667e-78        8.132528e-07
H2NN                          1.645970e-69        5.515615e-09
AR                            0.000000e+00        0.000000e+00
HE                            0.000000e+00        0.000000e+00
N2                            6.570062e-01        7.728380e-01
--------------------------------------------------------------

-----------------------------------------------------------------------------
Mole fractions                Inlet               Outlet
-----------------------------------------------------------------------------
NO                            3.865344e-44        3.109805e-03
NH3                           2.210862e-01        4.518175e-04
H2                            1.822488e-41        1.259498e-02
O2                            1.635719e-01        2.421589e-03
H                             9.893953e-33        6.301788e-04
O                             9.058516e-27        8.526074e-05
OH                            2.249444e-34        2.640045e-03
HO2                           1.357267e-118       9.945820e-07
H2O                           9.682100e-83        2.969584e-01
H2O2                          3.352149e-42        1.155982e-07
NH2                           1.263905e-56        8.108468e-05
NH                            5.703541e-59        1.943545e-05
N                             1.439245e-44        7.797054e-06
NNH                           1.030905e-38        1.070003e-08
NH2OH                         1.075734e-86        2.955017e-08
H2NO                          3.016150e-63        7.015085e-08
HNOH                          5.751020e-69        2.011752e-08
HNO                           3.979792e-61        2.845297e-06
HON                           1.904984e-133       8.441168e-09
NO2                           1.892148e-44        4.702776e-07
HONO                          3.561254e-86        8.604068e-08
HNO2                          6.151909e-91        6.901835e-10
NO3                           1.309822e-63        1.591551e-13
HONO2                         2.311579e-86        2.211925e-12
N2O                           9.041861e-27        9.740413e-05
N2H4                          1.883649e-64        1.382467e-09
N2H3                          5.935256e-69        4.328569e-09
N2H2                          1.215912e-78        6.684027e-07
H2NN                          1.438099e-69        4.533218e-09
AR                            0.000000e+00        0.000000e+00
HE                            0.000000e+00        0.000000e+00
N2                            6.153419e-01        6.808969e-01
-----------------------------------------------------------------------------
